set,z,num
1,0.106,2028.301886792453
2,0.106,660.377358490566
3,0.106,139.0
1,0.212,801.8867924528303
2,0.212,735.8490566037736
3,0.212,159.0
1,0.318,801.8867924528303
2,0.318,688.6792452830189
3,0.318,148.0
1,0.424,735.8490566037736
2,0.424,707.5471698113208
3,0.424,170.0
1,0.53,688.6792452830189
2,0.53,698.1132075471698
3,0.53,171.0
1,0.636,745.2830188679245
2,0.636,632.0754716981132
3,0.636,175.0
1,0.742,575.4716981132076
2,0.742,698.1132075471698
3,0.742,172.0
1,0.848,688.6792452830189
2,0.848,726.4150943396227
3,0.848,174.0
1,0.954,613.2075471698114
2,0.954,556.6037735849056
3,0.954,164.0
1,1.06,452.8301886792453
2,1.06,537.7358490566038
3,1.06,161.0
1,1.1660000000000001,584.9056603773585
2,1.1660000000000001,518.867924528302
3,1.1660000000000001,170.0
1,1.272,660.377358490566
2,1.272,556.6037735849056
3,1.272,170.0
1,1.3780000000000001,490.5660377358491
2,1.3780000000000001,471.6981132075472
3,1.3780000000000001,183.0
1,1.484,603.7735849056604
2,1.484,528.3018867924528
3,1.484,186.0
1,1.59,556.6037735849056
2,1.59,594.3396226415094
3,1.59,181.0
1,1.696,386.79245283018867
2,1.696,405.66037735849056
3,1.696,178.0
1,1.802,433.9622641509434
2,1.802,433.9622641509434
3,1.802,178.0
1,1.9080000000000001,490.5660377358491
2,1.9080000000000001,462.26415094339626
3,1.9080000000000001,188.0
1,2.014,547.1698113207548
2,2.014,481.1320754716981
3,2.014,170.0
1,2.1199999999999997,462.26415094339626
2,2.1199999999999997,566.0377358490566
3,2.1199999999999997,180.0
1,2.226,264.1509433962264
2,2.226,396.22641509433964
3,2.226,176.0
1,2.332,301.8867924528302
2,2.332,481.1320754716981
3,2.332,148.0
1,2.4379999999999997,320.7547169811321
2,2.4379999999999997,358.49056603773585
3,2.4379999999999997,146.0
1,2.5439999999999996,330.188679245283
2,2.5439999999999996,349.0566037735849
3,2.5439999999999996,149.0
1,2.65,235.8490566037736
2,2.65,377.35849056603774
3,2.65,135.0
1,2.756,358.49056603773585
2,2.756,330.188679245283
3,2.756,122.0
1,2.8619999999999997,358.49056603773585
2,2.8619999999999997,320.7547169811321
3,2.8619999999999997,133.0
1,2.968,188.67924528301887
2,2.968,301.8867924528302
3,2.968,125.0
1,3.074,235.8490566037736
2,3.074,235.8490566037736
3,3.074,117.0
1,3.1799999999999997,235.8490566037736
2,3.1799999999999997,245.28301886792454
3,3.1799999999999997,120.0
1,3.2859999999999996,198.11320754716982
2,3.2859999999999996,301.8867924528302
3,3.2859999999999996,112.0
1,3.392,188.67924528301887
2,3.392,198.11320754716982
3,3.392,113.0
1,3.4979999999999998,235.8490566037736
2,3.4979999999999998,254.7169811320755
3,3.4979999999999998,107.0
1,3.6039999999999996,235.8490566037736
2,3.6039999999999996,235.8490566037736
3,3.6039999999999996,104.0
1,3.71,226.41509433962264
2,3.71,245.28301886792454
3,3.71,108.0
1,3.816,198.11320754716982
2,3.816,245.28301886792454
3,3.816,99.0
1,3.9219999999999997,198.11320754716982
2,3.9219999999999997,273.5849056603774
3,3.9219999999999997,96.0
1,4.028,150.9433962264151
2,4.028,179.24528301886792
3,4.028,86.0
1,4.1339999999999995,245.28301886792454
2,4.1339999999999995,132.0754716981132
3,4.1339999999999995,93.0
1,4.239999999999999,226.41509433962264
2,4.239999999999999,198.11320754716982
3,4.239999999999999,102.0
1,4.346,169.81132075471697
2,4.346,226.41509433962264
3,4.346,94.0
1,4.452,84.90566037735849
2,4.452,132.0754716981132
3,4.452,94.0
1,4.558,94.33962264150944
2,4.558,113.20754716981132
3,4.558,91.0
1,4.664,132.0754716981132
2,4.664,188.67924528301887
3,4.664,86.0
1,4.77,103.77358490566039
2,4.77,226.41509433962264
3,4.77,79.0
1,4.8759999999999994,132.0754716981132
2,4.8759999999999994,179.24528301886792
3,4.8759999999999994,71.0
1,4.981999999999999,132.0754716981132
2,4.981999999999999,179.24528301886792
3,4.981999999999999,63.0
1,5.088,122.64150943396227
2,5.088,150.9433962264151
3,5.088,57.0
1,5.194,122.64150943396227
2,5.194,47.16981132075472
3,5.194,58.0
1,5.3,179.24528301886792
2,5.3,132.0754716981132
3,5.3,67.0
1,5.406,103.77358490566039
2,5.406,84.90566037735849
3,5.406,72.0
1,5.512,84.90566037735849
2,5.512,150.9433962264151
3,5.512,68.0
1,5.617999999999999,56.60377358490566
2,5.617999999999999,132.0754716981132
3,5.617999999999999,65.0
1,5.723999999999999,160.37735849056605
2,5.723999999999999,75.47169811320755
3,5.723999999999999,64.0
1,5.83,84.90566037735849
2,5.83,94.33962264150944
3,5.83,63.0
1,5.936,132.0754716981132
2,5.936,122.64150943396227
3,5.936,67.0
1,6.042,169.81132075471697
2,6.042,103.77358490566039
3,6.042,68.0
1,6.148,122.64150943396227
2,6.148,84.90566037735849
3,6.148,77.0
1,6.254,94.33962264150944
2,6.254,84.90566037735849
3,6.254,82.0
1,6.359999999999999,113.20754716981132
2,6.359999999999999,141.50943396226415
3,6.359999999999999,75.0
1,6.465999999999999,75.47169811320755
2,6.465999999999999,188.67924528301887
3,6.465999999999999,69.0
1,6.572,56.60377358490566
2,6.572,75.47169811320755
3,6.572,65.0
1,6.678,94.33962264150944
2,6.678,113.20754716981132
3,6.678,63.0
1,6.784,56.60377358490566
2,6.784,179.24528301886792
3,6.784,52.0
1,6.89,66.0377358490566
2,6.89,66.0377358490566
3,6.89,45.0
1,6.9959999999999996,37.735849056603776
2,6.9959999999999996,103.77358490566039
3,6.9959999999999996,42.0
1,7.101999999999999,103.77358490566039
2,7.101999999999999,47.16981132075472
3,7.101999999999999,39.0
1,7.207999999999999,75.47169811320755
2,7.207999999999999,84.90566037735849
3,7.207999999999999,42.0
1,7.314,28.30188679245283
2,7.314,75.47169811320755
3,7.314,41.0
1,7.42,56.60377358490566
2,7.42,47.16981132075472
3,7.42,38.0
1,7.526,18.867924528301888
2,7.526,84.90566037735849
3,7.526,36.0
1,7.632,84.90566037735849
2,7.632,28.30188679245283
3,7.632,37.0
1,7.7379999999999995,113.20754716981132
2,7.7379999999999995,75.47169811320755
3,7.7379999999999995,35.0
1,7.843999999999999,47.16981132075472
2,7.843999999999999,94.33962264150944
3,7.843999999999999,40.0
1,7.949999999999999,47.16981132075472
2,7.949999999999999,84.90566037735849
3,7.949999999999999,38.0
1,8.056000000000001,84.90566037735849
2,8.056000000000001,66.0377358490566
3,8.056000000000001,39.0
1,8.161999999999999,47.16981132075472
2,8.161999999999999,66.0377358490566
3,8.161999999999999,38.0
1,8.267999999999999,84.90566037735849
2,8.267999999999999,75.47169811320755
3,8.267999999999999,34.0
1,8.373999999999999,56.60377358490566
2,8.373999999999999,18.867924528301888
3,8.373999999999999,38.0
1,8.48,18.867924528301888
2,8.48,84.90566037735849
3,8.48,38.0
1,8.586,37.735849056603776
2,8.586,141.50943396226415
3,8.586,28.0
1,8.692,47.16981132075472
2,8.692,37.735849056603776
3,8.692,23.0
1,8.798,28.30188679245283
2,8.798,28.30188679245283
3,8.798,24.0
1,8.904,18.867924528301888
2,8.904,47.16981132075472
3,8.904,22.0
1,9.01,9.433962264150944
2,9.01,18.867924528301888
3,9.01,19.0
1,9.116,94.33962264150944
2,9.116,28.30188679245283
3,9.116,24.0
1,9.222,18.867924528301888
2,9.222,75.47169811320755
3,9.222,22.0
1,9.328,28.30188679245283
2,9.328,56.60377358490566
3,9.328,16.0
1,9.434,56.60377358490566
2,9.434,18.867924528301888
3,9.434,18.0
1,9.54,56.60377358490566
2,9.54,47.16981132075472
3,9.54,21.0
1,9.645999999999999,66.0377358490566
2,9.645999999999999,47.16981132075472
3,9.645999999999999,19.0
1,9.751999999999999,37.735849056603776
2,9.751999999999999,84.90566037735849
3,9.751999999999999,18.0
1,9.857999999999999,56.60377358490566
2,9.857999999999999,18.867924528301888
3,9.857999999999999,20.0
1,9.964,47.16981132075472
2,9.964,9.433962264150944
3,9.964,21.0
1,10.07,47.16981132075472
2,10.07,9.433962264150944
3,10.07,29.0
1,10.176,18.867924528301888
2,10.176,56.60377358490566
3,10.176,26.0
1,10.282,18.867924528301888
2,10.282,84.90566037735849
3,10.282,25.0
1,10.388,37.735849056603776
2,10.388,66.0377358490566
3,10.388,19.0
1,10.494,18.867924528301888
2,10.494,18.867924528301888
3,10.494,16.0
1,10.6,0.0
2,10.6,47.16981132075472
3,10.6,12.0
1,10.706,37.735849056603776
2,10.706,37.735849056603776
3,10.706,13.0
1,10.812,9.433962264150944
2,10.812,28.30188679245283
3,10.812,10.0
1,10.918,0.0
2,10.918,9.433962264150944
3,10.918,9.0
1,11.024,18.867924528301888
2,11.024,18.867924528301888
3,11.024,8.0
1,11.129999999999999,9.433962264150944
2,11.129999999999999,18.867924528301888
3,11.129999999999999,8.0
1,11.235999999999999,18.867924528301888
2,11.235999999999999,18.867924528301888
3,11.235999999999999,7.0
1,11.341999999999999,28.30188679245283
2,11.341999999999999,37.735849056603776
3,11.341999999999999,6.0
1,11.448,9.433962264150944
2,11.448,9.433962264150944
3,11.448,7.0
1,11.554,9.433962264150944
2,11.554,0.0
3,11.554,7.0
1,11.66,9.433962264150944
2,11.66,0.0
3,11.66,8.0
1,11.766,28.30188679245283
2,11.766,18.867924528301888
3,11.766,9.0
1,11.872,18.867924528301888
2,11.872,18.867924528301888
3,11.872,7.0
1,11.978,18.867924528301888
2,11.978,9.433962264150944
3,11.978,9.0
1,12.084,0.0
2,12.084,18.867924528301888
3,12.084,9.0
1,12.19,9.433962264150944
2,12.19,9.433962264150944
3,12.19,7.0
1,12.296,9.433962264150944
2,12.296,37.735849056603776
3,12.296,6.0
1,12.402,18.867924528301888
2,12.402,9.433962264150944
3,12.402,5.0
1,12.508,0.0
2,12.508,0.0
3,12.508,6.0
1,12.613999999999999,9.433962264150944
2,12.613999999999999,18.867924528301888
3,12.613999999999999,7.0
1,12.719999999999999,9.433962264150944
2,12.719999999999999,9.433962264150944
3,12.719999999999999,4.0
1,12.825999999999999,28.30188679245283
2,12.825999999999999,0.0
3,12.825999999999999,7.0
1,12.932,0.0
2,12.932,9.433962264150944
3,12.932,7.0
1,13.038,18.867924528301888
2,13.038,18.867924528301888
3,13.038,5.0
1,13.144,18.867924528301888
2,13.144,9.433962264150944
3,13.144,7.0
1,13.25,0.0
2,13.25,28.30188679245283
3,13.25,8.0
1,13.356,9.433962264150944
2,13.356,28.30188679245283
3,13.356,4.0
1,13.462,18.867924528301888
2,13.462,0.0
3,13.462,3.0
1,13.568,18.867924528301888
2,13.568,9.433962264150944
3,13.568,6.0
1,13.674,9.433962264150944
2,13.674,18.867924528301888
3,13.674,5.0
1,13.78,0.0
2,13.78,28.30188679245283
3,13.78,4.0
1,13.886,0.0
2,13.886,0.0
3,13.886,2.0
1,13.991999999999999,9.433962264150944
2,13.991999999999999,0.0
3,13.991999999999999,3.0
1,14.097999999999999,9.433962264150944
2,14.097999999999999,9.433962264150944
3,14.097999999999999,3.0
1,14.203999999999999,9.433962264150944
2,14.203999999999999,9.433962264150944
3,14.203999999999999,3.0
1,14.309999999999999,9.433962264150944
2,14.309999999999999,9.433962264150944
3,14.309999999999999,3.0
1,14.415999999999999,18.867924528301888
2,14.415999999999999,0.0
3,14.415999999999999,4.0
1,14.522,9.433962264150944
2,14.522,0.0
3,14.522,5.0
1,14.628,9.433962264150944
2,14.628,18.867924528301888
3,14.628,5.0
1,14.734,18.867924528301888
2,14.734,0.0
3,14.734,6.0
1,14.84,9.433962264150944
2,14.84,18.867924528301888
3,14.84,7.0
1,14.946,9.433962264150944
2,14.946,9.433962264150944
3,14.946,6.0
1,15.052,0.0
2,15.052,0.0
3,15.052,6.0
1,15.158,0.0
2,15.158,0.0
3,15.158,6.0
1,15.264,9.433962264150944
2,15.264,0.0
3,15.264,7.0
1,15.37,0.0
2,15.37,28.30188679245283
3,15.37,5.0
1,15.475999999999999,9.433962264150944
2,15.475999999999999,9.433962264150944
3,15.475999999999999,5.0
1,15.581999999999999,9.433962264150944
2,15.581999999999999,0.0
3,15.581999999999999,5.0
1,15.687999999999999,0.0
2,15.687999999999999,0.0
3,15.687999999999999,5.0
1,15.793999999999999,9.433962264150944
2,15.793999999999999,0.0
3,15.793999999999999,5.0
1,15.899999999999999,0.0
2,15.899999999999999,9.433962264150944
3,15.899999999999999,6.0
1,16.006,0.0
2,16.006,9.433962264150944
3,16.006,5.0
1,16.112000000000002,0.0
2,16.112000000000002,0.0
3,16.112000000000002,4.0
1,16.218,0.0
2,16.218,9.433962264150944
3,16.218,3.0
1,16.324,9.433962264150944
2,16.324,9.433962264150944
3,16.324,3.0
1,16.43,0.0
2,16.43,0.0
3,16.43,3.0
1,16.536,0.0
2,16.536,9.433962264150944
3,16.536,3.0
1,16.642,9.433962264150944
2,16.642,0.0
3,16.642,3.0
1,16.748,9.433962264150944
2,16.748,0.0
3,16.748,3.0
1,16.854000000000003,0.0
2,16.854000000000003,0.0
3,16.854000000000003,4.0
1,16.96,18.867924528301888
