set,z,num
1,0.25,171.0
2,0.25,323.0
3,0.25,127.0
4,0.25,2.0
5,0.25,0.0
6,0.25,0.0
7,0.25,0.0
8,0.25,0.0
9,0.25,37.0
10,0.25,2.0
11,0.25,0.0
12,0.25,0.0
1,0.5,175.0
2,0.5,193.0
3,0.5,1.0
4,0.5,3.0
5,0.5,0.0
6,0.5,0.0
7,0.5,0.0
8,0.5,0.0
9,0.5,18.0
10,0.5,10.0
11,0.5,0.0
12,0.5,0.0
1,0.75,144.0
2,0.75,168.0
3,0.75,0.0
4,0.75,20.0
5,0.75,0.0
6,0.75,1.0
7,0.75,1.0
8,0.75,0.0
9,0.75,15.0
10,0.75,12.0
11,0.75,0.0
12,0.75,0.0
1,1.0,126.0
2,1.0,149.0
3,1.0,0.0
4,1.0,30.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,13.0
10,1.0,22.0
11,1.0,0.0
12,1.0,0.0
1,1.25,102.0
2,1.25,143.0
3,1.25,0.0
4,1.25,33.0
5,1.25,0.0
6,1.25,0.0
7,1.25,0.0
8,1.25,0.0
9,1.25,14.0
10,1.25,13.0
11,1.25,0.0
12,1.25,0.0
1,1.5,97.0
2,1.5,145.0
3,1.5,0.0
4,1.5,31.0
5,1.5,0.0
6,1.5,0.0
7,1.5,0.0
8,1.5,0.0
9,1.5,21.0
10,1.5,11.0
11,1.5,0.0
12,1.5,0.0
1,1.75,69.0
2,1.75,109.0
3,1.75,0.0
4,1.75,49.0
5,1.75,0.0
6,1.75,0.0
7,1.75,0.0
8,1.75,0.0
9,1.75,15.0
10,1.75,9.0
11,1.75,0.0
12,1.75,0.0
1,2.0,66.0
2,2.0,126.0
3,2.0,0.0
4,2.0,50.0
5,2.0,0.0
6,2.0,0.0
7,2.0,0.0
8,2.0,0.0
9,2.0,15.0
10,2.0,16.0
11,2.0,0.0
12,2.0,0.0
1,2.25,72.0
2,2.25,91.0
3,2.25,0.0
4,2.25,52.0
5,2.25,0.0
6,2.25,0.0
7,2.25,0.0
8,2.25,0.0
9,2.25,10.0
10,2.25,13.0
11,2.25,0.0
12,2.25,0.0
1,2.5,41.0
2,2.5,86.0
3,2.5,0.0
4,2.5,52.0
5,2.5,0.0
6,2.5,0.0
7,2.5,0.0
8,2.5,0.0
9,2.5,4.0
10,2.5,14.0
11,2.5,0.0
12,2.5,0.0
1,2.75,38.0
2,2.75,72.0
3,2.75,0.0
4,2.75,53.0
5,2.75,0.0
6,2.75,0.0
7,2.75,0.0
8,2.75,0.0
9,2.75,9.0
10,2.75,9.0
11,2.75,0.0
12,2.75,0.0
1,3.0,35.0
2,3.0,69.0
3,3.0,0.0
4,3.0,42.0
5,3.0,0.0
6,3.0,1.0
7,3.0,1.0
8,3.0,0.0
9,3.0,5.0
10,3.0,7.0
11,3.0,0.0
12,3.0,0.0
