set,int,length
3,0,1328.4
4,0,1331.1000000000001
3,0,410.40000000000003
3,0,197.1
3,0,1061.1000000000001
3,0,745.2
3,0,288.9
3,0,302.4
4,0,288.9
3,0,351.00000000000006
3,0,718.2
3,0,229.5
3,0,37.8
3,0,280.8
3,0,577.8
3,0,194.4
3,0,1347.3000000000002
4,0,13.500000000000002
3,0,124.2
3,0,1266.3
4,0,1269.0000000000002
3,0,326.7
3,0,599.4000000000001
3,0,91.80000000000001
3,0,388.8
3,0,261.90000000000003
3,0,588.6
4,0,1001.7
4,0,491.4
3,0,459.0
3,0,723.6
3,0,207.9
3,0,356.4
3,0,240.3
3,0,2.7
3,0,129.6
4,0,291.6
3,0,56.7
3,0,261.90000000000003
3,0,1290.6
4,0,83.70000000000002
3,0,496.8
3,0,634.5000000000001
3,0,294.3
3,0,148.50000000000003
4,0,853.2
3,0,229.5
3,0,386.1
3,0,207.9
3,0,37.8
4,0,772.2
3,0,210.60000000000002
3,0,591.3000000000001
3,0,993.6
3,0,1420.2
4,0,43.2
3,0,531.9000000000001
3,0,448.20000000000005
3,0,226.8
3,0,1514.7
4,0,1023.3000000000001
2,0,402.30000000000007
4,0,961.2
3,0,13.500000000000002
3,0,545.4
3,0,877.5000000000001
3,0,170.1
3,0,1447.2
4,0,345.6
3,0,334.80000000000007
3,0,261.90000000000003
3,0,448.20000000000005
3,0,232.20000000000002
3,0,1649.7000000000003
4,0,577.8
3,0,167.40000000000003
3,0,661.5000000000001
3,0,207.9
3,0,97.2
3,0,445.5
3,0,164.70000000000002
4,0,297.00000000000006
3,0,237.6
3,0,264.6
3,0,839.7
4,0,391.5
3,0,29.7
3,0,243.00000000000003
3,0,270.0
3,0,1215.0
4,0,688.5
3,0,310.5
3,0,251.1
3,0,1328.4
4,0,1398.6000000000001
3,0,1220.4
4,0,64.8
3,0,459.0
3,0,367.20000000000005
3,0,426.6
3,0,988.2
4,0,253.8
3,0,218.70000000000002
3,0,1822.5
4,0,153.9
3,0,502.2
3,0,194.4
3,0,189.0
3,0,113.4
3,0,464.40000000000003
3,0,224.10000000000002
3,0,345.6
4,0,264.6
3,0,796.5000000000001
3,0,918.0
3,0,693.9000000000001
3,0,418.50000000000006
3,0,723.6
3,0,923.4
3,0,523.8000000000001
3,0,116.10000000000001
3,0,1314.9
4,0,702.0000000000001
3,0,918.0
4,0,29.7
3,0,275.40000000000003
3,0,923.4
3,0,561.6
4,0,1128.6000000000001
3,0,615.6
4,0,51.300000000000004
3,0,288.9
3,0,426.6
3,0,83.70000000000002
3,0,683.1
4,0,615.6
3,0,904.5000000000001
3,0,499.5
3,0,37.8
3,0,1179.9
4,0,507.6
3,0,1104.3
3,0,742.5
4,0,256.5
3,0,218.70000000000002
3,0,734.4000000000001
3,0,1433.7
3,0,383.40000000000003
3,0,264.6
3,0,351.00000000000006
3,0,907.2
4,0,118.8
3,0,159.3
3,0,132.3
3,0,688.5
3,0,270.0
4,0,402.30000000000007
3,0,737.1000000000001
3,0,108.00000000000001
4,0,348.3
3,0,602.1000000000001
3,0,556.2
3,0,513.0
3,0,129.6
3,0,156.60000000000002
3,0,407.7
3,0,318.6
3,0,113.4
3,0,224.10000000000002
3,0,307.8
3,0,245.7
3,0,178.2
3,0,86.4
3,0,345.6
3,0,129.6
3,0,159.3
3,0,315.90000000000003
3,0,572.4
4,0,375.3
3,0,780.3
4,0,750.6
3,0,912.6
3,0,467.1
4,0,232.20000000000002
3,0,518.4
4,0,1104.3
3,0,847.8
4,0,1117.8000000000002
3,0,1495.8
3,0,637.2
4,0,21.6
3,0,507.6
4,0,947.7
3,0,18.9
3,0,496.8
4,0,548.1
3,0,67.5
3,0,197.1
4,0,302.4
3,0,669.6000000000001
4,0,955.8000000000001
3,0,591.3000000000001
4,0,383.40000000000003
4,0,126.9
3,0,126.9
3,0,359.1
3,0,540.0
4,0,126.9
3,0,226.8
3,0,270.0
3,0,421.20000000000005
4,0,294.3
3,0,332.1
3,0,332.1
3,0,440.1
3,0,602.1000000000001
4,0,345.6
3,0,305.1
4,0,1166.4
3,0,237.6
4,0,37.8
3,0,572.4
3,0,572.4
4,0,1344.6
3,0,234.90000000000003
3,0,437.40000000000003
4,0,518.4
3,0,315.90000000000003
4,0,596.7
3,0,796.5000000000001
4,0,294.3
3,0,472.50000000000006
4,0,488.70000000000005
3,0,199.8
3,0,245.7
3,0,364.50000000000006
3,0,634.5000000000001
4,0,297.00000000000006
3,0,353.7
3,0,475.2
4,0,288.9
3,0,159.3
4,0,143.1
3,0,288.9
3,0,145.8
3,0,264.6
3,0,221.4
3,0,24.3
3,0,340.2
4,0,1260.9
3,0,378.0
4,0,270.0
3,0,226.8
3,0,205.20000000000002
3,0,464.40000000000003
3,0,175.50000000000003
4,0,218.70000000000002
3,0,369.90000000000003
4,0,264.6
3,0,283.50000000000006
4,0,145.8
3,0,243.00000000000003
3,0,234.90000000000003
4,0,24.3
3,0,199.8
