set,z,num
1,0.106,2464.150943
1,0.212,715.0943396
1,0.318,667.9245283
1,0.424,698.1132076
1,0.53,643.3962264
1,0.636,622.6415094
1,0.742,552.8301887
1,0.848,579.245283
1,0.954,550.9433962
1,1.06,543.3962264
1,1.166,511.3207547
1,1.272,513.2075472
1,1.378,473.5849057
1,1.484,415.0943396
1,1.59,467.9245283
1,1.696,449.0566038
1,1.802,426.4150943
1,1.908,386.7924528
1,2.014,379.245283
1,2.12,335.8490566
1,2.226,367.9245283
1,2.332,373.5849057
1,2.438,290.5660377
1,2.544,279.245283
1,2.65,294.3396226
1,2.756,307.5471698
1,2.862,252.8301887
1,2.968,275.4716981
1,3.074,284.9056604
1,3.18,269.8113208
1,3.286,258.490566
1,3.392,237.7358491
1,3.498,247.1698113
1,3.604,237.7358491
1,3.71,200
1,3.816,230.1886793
1,3.922,201.8867924
1,4.028,237.735849
1,4.134,249.0566038
1,4.24,222.6415094
1,4.346,220.754717
1,4.452,196.2264151
1,4.558,235.8490566
1,4.664,200
1,4.77,207.5471698
1,4.876,205.6603774
1,4.982,198.1132075
1,5.088,186.7924528
1,5.194,203.7735849
1,5.3,194.3396226
1,5.406,181.1320755
1,5.512,152.8301887
1,5.618,205.6603774
1,5.724,175.4716981
1,5.83,167.9245283
1,5.936,177.3584906
1,6.042,167.9245283
1,6.148,183.0188679
1,6.254,158.4905661
1,6.36,183.0188679
1,6.466,216.9811321
1,6.572,160.3773585
1,6.678,154.7169811
1,6.784,147.1698113
1,6.89,177.3584906
1,6.996,167.9245283
1,7.102,177.3584906
1,7.208,173.5849057
1,7.314,167.9245283
1,7.42,141.509434
1,7.526,160.3773585
1,7.632,147.1698113
1,7.738,164.1509434
1,7.844,150.9433962
1,7.95,149.0566038
1,8.056,162.2641509
1,8.162,156.6037736
1,8.268,158.490566
1,8.374,115.0943396
1,8.48,181.1320755
1,8.586,145.2830189
1,8.692,133.9622642
1,8.798,145.2830189
1,8.904,128.3018868
1,9.01,133.9622641
1,9.116,154.7169811
1,9.222,135.8490566
1,9.328,118.8679245
1,9.434,160.3773585
1,9.54,149.0566038
1,9.646,133.9622642
1,9.752,113.2075472
1,9.858,132.0754717
1,9.964,133.9622641
1,10.07,133.9622642
1,10.176,124.5283019
1,10.282,149.0566038
1,10.388,128.3018868
1,10.494,124.5283019
1,10.6,103.7735849
1,10.706,118.8679245
1,10.812,107.5471698
1,10.918,124.5283019
1,11.024,122.6415094
1,11.13,120.754717
1,11.236,103.7735849
1,11.342,124.5283019
1,11.448,122.6415094
1,11.554,143.3962264
1,11.66,92.4528302
1,11.766,92.45283019
1,11.872,126.4150943
1,11.978,126.4150943
1,12.084,109.4339623
1,12.19,120.754717
1,12.296,90.56603774
1,12.402,105.6603774
1,12.508,107.5471698
1,12.614,103.7735849
1,12.72,111.3207547
1,12.826,111.3207547
1,12.932,105.6603774
1,13.038,137.7358491
1,13.144,94.33962265
1,13.25,115.0943396
1,13.356,113.2075472
1,13.462,84.90566038
1,13.568,99.99999999
1,13.674,86.79245284
1,13.78,83.01886792
1,13.886,103.7735849
1,13.992,79.24528302
1,14.098,101.8867924
1,14.204,111.3207547
1,14.31,92.45283019
1,14.416,84.90566038
1,14.522,90.56603774
1,14.628,73.58490566
1,14.734,64.15094339
1,14.84,88.67924528
1,14.946,96.2264151
1,15.052,84.90566038
1,15.158,86.79245283
1,15.264,94.33962264
1,15.37,83.01886793
1,15.476,96.22641509
1,15.582,81.13207548
1,15.688,75.47169812
1,15.794,60.37735849
1,15.9,75.47169811
1,16.006,69.81132076
1,16.112,88.67924528
1,16.218,73.58490566
1,16.324,77.35849056
1,16.43,86.79245283
1,16.536,88.67924528
1,16.642,99.99999999
1,16.748,81.13207547
1,16.854,60.37735849
1,16.96,62.26415095
1,17.066,69.81132075
1,17.172,79.24528302
1,17.278,79.24528301
1,17.384,66.03773585
1,17.49,58.49056604
1,17.596,71.69811321
1,17.702,69.81132076
1,17.808,81.13207547
1,17.914,64.1509434
1,18.02,45.28301887
1,18.126,66.03773585
1,18.232,71.69811321
1,18.338,54.71698113
1,18.444,81.13207547
1,18.55,60.37735849
1,18.656,67.9245283
1,18.762,62.26415094
1,18.868,54.71698113
1,18.974,54.71698113
1,19.08,49.05660377
1,19.186,56.60377358
1,19.292,71.6981132
1,19.398,47.16981132
1,19.504,54.71698113
1,19.61,50.94339622
1,19.716,60.37735849
1,19.822,66.03773585
1,19.928,56.60377358
1,20.034,67.92452831
1,20.14,56.60377358
1,20.246,62.26415094
1,20.352,45.28301887
1,20.458,60.37735849
1,20.564,32.0754717
1,20.67,58.49056604
1,20.776,54.71698113
1,20.882,50.94339623
1,20.988,64.15094339
1,21.094,49.05660377
1,21.2,52.83018868
1,21.306,49.05660377
1,21.412,47.16981132
1,21.518,60.37735849
1,21.624,37.73584906
1,21.73,52.83018869
1,21.836,54.71698113
1,21.942,47.16981132
1,22.048,43.39622641
1,22.154,54.71698113
1,22.26,39.62264151
1,22.366,24.52830189
1,22.472,45.28301887
1,22.578,52.83018868
1,22.684,62.26415094
1,22.79,39.62264151
1,22.896,28.30188679
1,23.002,41.50943396
1,23.108,45.28301887
1,23.214,33.96226415
1,23.32,43.39622641
1,23.426,54.71698113
1,23.532,35.8490566
1,23.638,24.52830189
1,23.744,37.73584906
1,23.85,41.50943396
1,23.956,28.30188679
1,24.062,37.73584906
1,24.168,43.39622641
1,24.274,49.05660377
1,24.38,37.73584906
1,24.486,35.8490566
1,24.592,33.96226415
1,24.698,47.16981132
1,24.804,32.0754717
1,24.91,41.50943396
1,25.016,30.18867925
1,25.122,41.50943396
1,25.228,43.39622641
1,25.334,22.64150944
1,25.44,41.50943396
1,25.546,20.75471698
1,25.652,35.8490566
