set,z,conc
1,0.25,749.1222806
1,0.5,812.2094783
1,0.75,804.8366852
1,1,786.0327415
1,1.25,781.2570313
1,1.5,761.1113722
1,1.75,739.305174
1,2,753.5924516
1,2.25,737.25939
1,2.5,730.7168663
1,2.75,699.7312085
1,3,678.0180006
1,3.25,656.364572
1,3.5,660.5956254
1,3.75,635.0432512
1,4,615.2230577
1,4.25,609.5174457
1,4.5,605.1601913
1,4.75,585.7584537
1,5,565.0017162
1,5.25,559.3226728
1,5.5,539.4360577
1,5.75,521.8277021
1,6,518.2077271
1,6.25,510.9744192
1,6.5,504.365474
1,6.75,489.4339073
1,7,464.08744
1,7.25,466.4653318
1,7.5,478.945943
1,7.75,470.4904784
1,8,450.4510937
1,8.25,440.8598204
1,8.5,426.0411704
1,8.75,426.6854595
1,9,414.2779121
1,9.25,396.9219585
1,9.5,405.1715162
1,9.75,406.9184033
1,10,384.7535287
1,10.25,384.0029651
1,10.5,384.2155141
1,10.75,355.7804442
1,11,341.3271127
1,11.25,347.9427001
1,11.5,343.1470635
1,11.75,354.6712041
1,12,330.8524327
1,12.25,329.543928
1,12.5,323.3800072
1,12.75,322.051576
1,13,294.5995452
1,13.25,307.8440043
1,13.5,310.8794696
1,13.75,296.0408931
1,14,293.7094963
1,14.25,285.9846689
1,14.5,272.0427834
1,14.75,250.2565118
1,15,238.3139153
1,15.25,249.6985707
1,15.5,258.8049665
1,15.75,239.7884739
1,16,225.7071032
1,16.25,224.6576425
1,16.5,218.7660501
1,16.75,234.8467098
1,17,222.7646281
1,17.25,219.4103393
1,17.5,211.306909
1,17.75,197.3052441
1,18,206.5710517
1,18.25,188.1125002
1,18.5,191.8985291
1,18.75,187.7936767
1,19,180.7529913
1,19.25,174.5027225
1,19.5,177.6643888
1,19.75,168.3587282
1,20,165.0110816
1,20.25,164.8848806
1,20.5,163.7756406
1,20.75,146.718584
1,21,156.9408621
1,21.25,158.003607
1,21.5,144.33405
1,21.75,139.3325065
1,22,138.9937565
1,22.25,137.8180949
1,22.5,125.6762338
1,22.75,132.670424
1,23,131.561184
1,23.25,124.6068466
1,23.5,128.7980471
1,23.75,123.2053517
1,24,114.9890047
1,24.25,111.7808434
1,24.5,118.6953278
1,24.75,117.5196662
1,25,112.5513335
1,25.25,107.9283929
1,25.5,103.1128298
1,25.75,97.04854136
1,26,101.884031
1,26.25,97.48028152
1,26.5,98.33711966
1,26.75,93.70089475
1,27,95.30829649
1,27.25,94.72378677
1,27.5,95.74667879
1,27.75,86.02920457
1,28,80.80846994
1,28.25,85.73030754
1,28.5,82.68155794
1,28.75,78.55677906
1,29,69.05849598
1,29.25,59.20817862
1,29.5,46.50173418
1,29.75,34.68533865
1,30,25.26676144
1,30.25,15.02455688
