set,z,num
1,0.25,162.4
1,0.5,143.4
1,0.75,116
1,1,86.6
1,1.25,75.8
1,1.5,61.2
1,1.75,48.6
1,2,35.2
1,2.25,24.2
1,2.5,19.6
1,2.75,13.8
1,3,9.6
1,3.25,9.2
1,3.5,6.4
1,3.75,5.2
1,4,2
1,4.25,2
1,4.5,3.2
1,4.75,1.8
1,5,1.2
1,5.25,0
1,5.5,0.4
1,5.75,0.4
1,6,0.6
1,6.25,0.4
1,6.5,0
1,6.75,0
1,7,0.2
1,7.25,0
1,7.5,0
1,7.75,0
1,8,0
1,8.25,0
1,8.5,0
1,8.75,0
1,9,0
1,9.25,0
1,9.5,0
1,9.75,0
1,10,0
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0
1,11.75,0
1,12,0
1,12.25,0
1,12.5,0
1,12.75,0
1,13,0
1,13.25,0
1,13.5,0
1,13.75,0
1,14,0
1,14.25,0
1,14.5,0
1,14.75,0
1,15,0
1,15.25,0
1,15.5,0
1,15.75,0
1,16,0
1,16.25,0
1,16.5,0
1,16.75,0
1,17,0
1,17.25,0
1,17.5,0
1,17.75,0
1,18,0
1,18.25,0
1,18.5,0
1,18.75,0
1,19,0
1,19.25,0
1,19.5,0
1,19.75,0
1,20,0
1,20.25,0
1,20.5,0
1,20.75,0
1,21,0
1,21.25,0
1,21.5,0
1,21.75,0
1,22,0
1,22.25,0
1,22.5,0
1,22.75,0
1,23,0
1,23.25,0
1,23.5,0
1,23.75,0
1,24,0
1,24.25,0
1,24.5,0
1,24.75,0
1,25,0
1,25.25,0
1,25.5,0
1,25.75,0
1,26,0
1,26.25,0
1,26.5,0
1,26.75,0
1,27,0
1,27.25,0
1,27.5,0
1,27.75,0
1,28,0
1,28.25,0
1,28.5,0
1,28.75,0
1,29,0
1,29.25,0
1,29.5,0
1,29.75,0
1,30,0
1,30.25,0
