set,int,length
3,0,72.9
3,0,164.7
3,0,421.2
3,0,483.3
3,0,329.4
4,0,189
3,0,656.1
3,0,594
3,0,399.6
3,0,394.2
3,0,126.9
4,0,334.8
3,0,1004.4
3,0,278.1
3,0,413.1
3,0,591.3
4,0,253.8
4,0,823.5
3,0,1034.1
4,0,445.5
3,0,2.7
3,0,440.1
4,0,491.4
3,0,159.3
3,0,499.5
4,0,205.2
3,0,248.4
3,0,369.9
3,0,699.3
4,0,372.6
3,0,251.1
3,0,175.5
4,0,423.9
3,0,445.5
4,0,145.8
3,0,345.6
4,0,567
3,0,243
4,0,270
3,0,280.8
4,0,356.4
3,0,75.6
4,0,896.4
3,0,108
4,0,513
4,0,972
3,0,86.4
4,0,464.4
3,0,97.2
4,0,729
4,0,264.6
4,0,164.7
4,0,464.4
3,0,699.3
3,0,453.6
4,0,515.7
3,0,81
4,0,1163.7
3,0,548.1
4,0,556.2
4,0,448.2
2,0,332.1
4,0,650.7
4,0,791.1
3,0,1382.4
4,0,796.5
3,0,75.6
4,0,1077.3
4,0,537.3
3,0,369.9
3,0,558.9
3,0,305.1
4,0,869.4
3,0,502.2
3,0,529.2
4,0,291.6
3,0,45.9
4,0,1136.7
4,0,332.1
3,0,507.6
4,0,634.5
4,0,448.2
3,0,375.3
4,0,91.8
4,0,459
4,0,918
4,0,459
4,0,423.9
3,0,469.8
4,0,610.2
3,0,180.9
4,0,650.7
4,0,364.5
3,0,283.5
4,0,1023.3
3,0,788.4
4,0,97.2
4,0,729
4,0,245.7
3,0,342.9
4,0,432
3,0,680.4
3,0,102.6
4,0,939.6
4,0,337.5
4,0,345.6
3,0,97.2
4,0,340.2
4,0,178.2
3,0,448.2
4,0,121.5
4,0,294.3
3,0,1123.2
4,0,21.6
4,0,218.7
3,0,202.5
4,0,456.3
3,0,113.4
4,0,237.6
3,0,561.6
4,0,334.8
4,0,423.9
4,0,526.5
3,0,27
3,0,105.3
4,0,1044.9
4,0,359.1
2,0,693.9
4,0,486
2,0,32.4
4,0,118.8
3,0,774.9
4,0,224.1
3,0,1263.6
4,0,437.4
3,0,737.1
4,0,537.3
3,0,583.2
4,0,27
3,0,826.2
4,0,604.8
4,0,194.4
4,0,172.8
4,0,67.5
4,0,321.3
4,0,132.3
4,0,664.2
4,0,75.6
4,0,245.7
4,0,2.7
4,0,402.3
4,0,48.6
4,0,631.8
4,0,27
4,0,251.1
4,0,0
4,0,248.4
3,0,91.8
4,0,426.6
2,0,183.6
3,0,783
4,0,1374.3
2,0,270
3,0,437.4
4,0,526.5
3,0,226.8
4,0,259.2
3,0,278.1
4,0,820.8
3,0,691.2
