set,z,num
1,0.106,2550.943396
1,0.212,771.6981132
1,0.318,700
1,0.424,716.9811321
1,0.53,773.5849057
1,0.636,694.3396226
1,0.742,626.4150943
1,0.848,643.3962264
1,0.954,686.7924528
1,1.06,739.6226415
1,1.166,664.1509434
1,1.272,615.0943396
1,1.378,628.3018868
1,1.484,633.9622641
1,1.59,652.8301887
1,1.696,577.3584906
1,1.802,560.3773585
1,1.908,607.5471698
1,2.014,567.9245283
1,2.12,562.264151
1,2.226,539.6226415
1,2.332,584.9056604
1,2.438,550.9433962
1,2.544,469.8113208
1,2.65,483.0188679
1,2.756,516.9811321
1,2.862,467.9245283
1,2.968,439.6226415
1,3.074,466.0377359
1,3.18,469.8113208
1,3.286,443.3962264
1,3.392,394.3396226
1,3.498,452.8301887
1,3.604,409.4339623
1,3.71,392.4528302
1,3.816,424.5283019
1,3.922,413.2075472
1,4.028,394.3396226
1,4.134,400
1,4.24,360.3773585
1,4.346,349.0566038
1,4.452,384.9056604
1,4.558,347.1698113
1,4.664,320.754717
1,4.77,354.7169811
1,4.876,345.2830189
1,4.982,341.509434
1,5.088,320.754717
1,5.194,288.6792453
1,5.3,294.3396226
1,5.406,286.7924528
1,5.512,273.5849057
1,5.618,267.9245283
1,5.724,279.245283
1,5.83,260.3773585
1,5.936,267.9245283
1,6.042,250.9433962
1,6.148,218.8679245
1,6.254,226.4150943
1,6.36,271.6981132
1,6.466,245.2830189
1,6.572,190.5660377
1,6.678,209.4339622
1,6.784,190.5660377
1,6.89,173.5849057
1,6.996,194.3396226
1,7.102,171.6981132
1,7.208,186.7924528
1,7.314,166.0377358
1,7.42,145.2830189
1,7.526,156.6037736
1,7.632,164.1509434
1,7.738,135.8490566
1,7.844,133.9622642
1,7.95,143.3962264
1,8.056,100
1,8.162,130.1886793
1,8.268,101.8867925
1,8.374,139.6226415
1,8.48,111.3207547
1,8.586,137.7358491
1,8.692,120.754717
1,8.798,109.4339623
1,8.904,111.3207547
1,9.01,115.0943396
1,9.116,94.33962265
1,9.222,130.1886792
1,9.328,96.22641509
1,9.434,79.24528302
1,9.54,67.92452831
1,9.646,92.45283018
1,9.752,66.03773584
1,9.858,60.37735849
1,9.964,84.90566037
1,10.07,71.6981132
1,10.176,56.60377358
1,10.282,77.35849056
1,10.388,98.11320755
1,10.494,84.90566038
1,10.6,69.81132075
1,10.706,79.24528301
1,10.812,73.58490566
1,10.918,56.60377358
1,11.024,75.47169811
1,11.13,52.83018868
1,11.236,45.28301887
1,11.342,60.37735849
1,11.448,33.96226415
1,11.554,50.94339622
1,11.66,47.16981132
1,11.766,39.62264151
1,11.872,54.71698113
1,11.978,30.18867925
1,12.084,41.50943396
1,12.19,22.64150943
1,12.296,45.28301887
1,12.402,28.30188679
1,12.508,30.18867925
1,12.614,24.52830189
1,12.72,28.30188679
1,12.826,30.18867924
1,12.932,20.75471698
1,13.038,41.50943396
1,13.144,20.75471698
1,13.25,30.18867925
1,13.356,24.52830189
1,13.462,20.75471698
1,13.568,16.98113207
1,13.674,13.20754717
1,13.78,18.86792453
1,13.886,20.75471698
1,13.992,22.64150943
1,14.098,18.86792453
1,14.204,16.98113208
1,14.31,15.09433962
1,14.416,20.75471698
1,14.522,16.98113208
1,14.628,16.98113208
1,14.734,7.547169811
1,14.84,7.547169811
1,14.946,9.433962265
1,15.052,9.433962264
1,15.158,15.09433962
1,15.264,13.20754717
1,15.37,9.433962264
1,15.476,15.09433962
1,15.582,11.32075472
1,15.688,7.547169812
1,15.794,15.09433962
1,15.9,9.433962264
1,16.006,5.660377359
1,16.112,13.20754717
1,16.218,3.773584906
1,16.324,11.32075472
1,16.43,11.32075472
1,16.536,11.32075472
1,16.642,11.32075472
1,16.748,3.773584906
1,16.854,13.20754717
1,16.96,7.547169812
1,17.066,5.660377358
1,17.172,7.547169812
1,17.278,3.773584906
1,17.384,1.886792453
1,17.49,5.660377359
1,17.596,3.773584906
1,17.702,7.547169812
1,17.808,1.886792453
1,17.914,1.886792453
1,18.02,1.886792453
1,18.126,1.886792453
1,18.232,5.660377359
1,18.338,3.773584906
1,18.444,3.773584906
1,18.55,1.886792453
1,18.656,0
1,18.762,5.660377359
1,18.868,1.886792453
1,18.974,0
1,19.08,0
1,19.186,0
1,19.292,1.886792453
1,19.398,0
1,19.504,1.886792453
1,19.61,3.773584906
1,19.716,1.886792453
1,19.822,0
1,19.928,1.886792453
1,20.034,1.886792453
1,20.14,1.886792453
1,20.246,3.773584906
1,20.352,0
1,20.458,0
1,20.564,0
1,20.67,0
1,20.776,0
1,20.882,1.886792453
1,20.988,0
1,21.094,0
1,21.2,0
1,21.306,0
1,21.412,0
1,21.518,0
1,21.624,0
1,21.73,0
1,21.836,0
1,21.942,0
1,22.048,3.773584906
1,22.154,0
1,22.26,0
1,22.366,0
1,22.472,0
1,22.578,1.886792453
