set,z,conc
1,0.25,785.5744327
1,0.5,821.3756536
1,0.75,836.5197693
1,1,785.1958299
1,1.25,792.8010985
1,1.5,750.204952
1,1.75,726.2666218
1,2,686.3738328
1,2.25,651.9873912
1,2.5,639.6595496
1,2.75,575.1442884
1,3,546.8221352
1,3.25,538.3799549
1,3.5,495.2457938
1,3.75,471.9783213
1,4,478.6603303
1,4.25,424.8655088
1,4.5,396.3175223
1,4.75,369.5429914
1,5,361.5790464
1,5.25,335.760986
1,5.5,311.576896
1,5.75,275.3638615
1,6,273.2516559
1,6.25,253.2853349
1,6.5,248.688963
1,6.75,232.5153131
1,7,203.0573512
1,7.25,203.8211991
1,7.5,174.2370363
1,7.75,149.1562552
1,8,130.4453018
1,8.25,118.9477297
1,8.5,123.5905967
1,8.75,120.322656
1,9,112.4649854
1,9.25,110.1734416
1,9.5,100.4227566
1,9.75,80.50293076
1,10,68.4806284
1,10.25,61.95138905
1,10.5,71.54930448
1,10.75,76.94273515
1,11,70.26736837
1,11.25,57.8066837
1,11.5,47.68403796
1,11.75,43.49283751
1,12,38.42487248
1,12.25,31.12514304
1,12.5,32.28087818
1,12.75,26.64832989
1,13,25.77820745
1,13.25,25.50587906
1,13.5,23.65935969
1,13.75,18.50504663
1,14,16.18029203
1,14.25,19.48808572
1,14.5,17.24303699
1,14.75,14.11458151
1,15,7.000832429
1,15.25,7.957302893
1,15.5,8.488675374
1,15.75,8.428895969
1,16,8.42889597
1,16.25,10.66730254
1,16.5,10.64073392
1,16.75,6.230342332
1,17,7.007474585
1,17.25,4.921837599
1,17.5,3.201519194
1,17.75,3.420710342
1,18,2.364607537
1,18.25,2.138774233
1,18.5,3.068676074
1,18.75,1.700391937
1,19,1.979362489
1,19.25,0.119558808
1,19.5,1.062744961
1,19.75,3.533626994
1,20,1.135808677
1,20.25,2.617009466
1,20.5,0.577867572
1,20.75,0
1,21,0.816985188
1,21.25,0.504803856
1,21.5,0
1,21.75,0
1,22,0.312181332
1,22.25,0.624362664
1,22.5,0
1,22.75,0.710710692
