set,z,num
1,0.25,172.8
1,0.5,151
1,0.75,142
1,1,116.8
1,1.25,104.2
1,1.5,86.2
1,1.75,76.6
1,2,65.4
1,2.25,58.8
1,2.5,46.6
1,2.75,42.8
1,3,29.4
1,3.25,25
1,3.5,21.4
1,3.75,18
1,4,13.8
1,4.25,13.4
1,4.5,9.2
1,4.75,11.4
1,5,8.6
1,5.25,5
1,5.5,4.4
1,5.75,4.8
1,6,2.2
1,6.25,3.8
1,6.5,2.6
1,6.75,2.6
1,7,1.6
1,7.25,1.4
1,7.5,0.6
1,7.75,1
1,8,0.4
1,8.25,0.2
1,8.5,0.6
1,8.75,1
1,9,0.4
1,9.25,0.4
1,9.5,0.2
1,9.75,0
1,10,0
1,10.25,0.2
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0
1,11.75,0
1,12,0
1,12.25,0
1,12.5,0
1,12.75,0
1,13,0
1,13.25,0
1,13.5,0
1,13.75,0
1,14,0
1,14.25,0
1,14.5,0
1,14.75,0
1,15,0
1,15.25,0
1,15.5,0
1,15.75,0
1,16,0
1,16.25,0
1,16.5,0
1,16.75,0
1,17,0.2
1,17.25,0
1,17.5,0
1,17.75,0
1,18,0
1,18.25,0
1,18.5,0
1,18.75,0
1,19,0
1,19.25,0
1,19.5,0
1,19.75,0
1,20,0
1,20.25,0
1,20.5,0
1,20.75,0
1,21,0
1,21.25,0
1,21.5,0
1,21.75,0
1,22,0
1,22.25,0
1,22.5,0
1,22.75,0
