set,z,num
1,0.106,2573.584905
1,0.212,760.3773585
1,0.318,664.1509434
1,0.424,730.1886793
1,0.53,641.509434
1,0.636,613.2075472
1,0.742,675.4716981
1,0.848,669.8113207
1,0.954,690.5660377
1,1.06,656.6037736
1,1.166,616.9811321
1,1.272,564.1509434
1,1.378,633.9622641
1,1.484,633.9622642
1,1.59,669.8113208
1,1.696,643.3962264
1,1.802,594.3396226
1,1.908,530.1886792
1,2.014,579.245283
1,2.12,456.6037736
1,2.226,522.6415094
1,2.332,545.2830189
1,2.438,513.2075472
1,2.544,539.6226415
1,2.65,503.7735849
1,2.756,452.8301887
1,2.862,545.2830189
1,2.968,490.5660377
1,3.074,462.2641509
1,3.18,422.6415094
1,3.286,430.1886792
1,3.392,403.7735849
1,3.498,449.0566038
1,3.604,390.5660378
1,3.71,379.245283
1,3.816,360.3773585
1,3.922,401.8867924
1,4.028,362.2641509
1,4.134,426.4150943
1,4.24,366.0377359
1,4.346,350.9433962
1,4.452,356.6037736
1,4.558,379.245283
1,4.664,341.509434
1,4.77,354.7169811
1,4.876,298.1132076
1,4.982,350.9433962
1,5.088,343.3962264
1,5.194,328.3018868
1,5.3,305.6603773
1,5.406,330.1886792
1,5.512,286.7924528
1,5.618,283.0188679
1,5.724,333.9622642
1,5.83,341.5094339
1,5.936,298.1132076
1,6.042,311.3207547
1,6.148,290.5660377
1,6.254,245.2830189
1,6.36,275.4716981
1,6.466,262.2641509
1,6.572,250.9433962
1,6.678,235.8490566
1,6.784,264.1509434
1,6.89,237.7358491
1,6.996,215.0943396
1,7.102,228.3018868
1,7.208,220.754717
1,7.314,252.8301887
1,7.42,215.0943396
1,7.526,209.4339623
1,7.632,209.4339623
1,7.738,198.1132075
1,7.844,192.4528302
1,7.95,233.9622641
1,8.056,171.6981132
1,8.162,196.2264151
1,8.268,216.9811321
1,8.374,218.8679245
1,8.48,190.5660377
1,8.586,198.1132075
1,8.692,162.264151
1,8.798,177.3584906
1,8.904,198.1132075
1,9.01,183.0188679
1,9.116,201.8867925
1,9.222,198.1132076
1,9.328,162.264151
1,9.434,175.4716981
1,9.54,167.9245283
1,9.646,160.3773585
1,9.752,183.0188679
1,9.858,164.1509434
1,9.964,143.3962264
1,10.07,152.8301887
1,10.176,160.3773585
1,10.282,150.9433962
1,10.388,147.1698113
1,10.494,149.0566038
1,10.6,156.6037736
1,10.706,118.8679245
1,10.812,147.1698113
1,10.918,101.8867924
1,11.024,137.7358491
1,11.13,133.9622641
1,11.236,120.754717
1,11.342,145.2830189
1,11.448,113.2075472
1,11.554,130.1886792
1,11.66,132.0754717
1,11.766,115.0943396
1,11.872,135.8490566
1,11.978,113.2075472
1,12.084,118.8679245
1,12.19,120.754717
1,12.296,115.0943396
1,12.402,88.67924528
1,12.508,128.3018868
1,12.614,100
1,12.72,118.8679246
1,12.826,103.7735849
1,12.932,90.56603773
1,13.038,96.22641509
1,13.144,81.13207547
1,13.25,111.3207547
1,13.356,75.47169812
1,13.462,90.56603775
1,13.568,81.13207547
1,13.674,94.33962264
1,13.78,103.7735849
1,13.886,73.58490567
1,13.992,88.67924528
1,14.098,83.01886793
1,14.204,101.8867925
1,14.31,84.90566037
1,14.416,86.79245283
1,14.522,64.15094339
1,14.628,88.67924528
1,14.734,52.83018868
1,14.84,83.01886792
1,14.946,60.37735849
1,15.052,88.67924529
1,15.158,75.47169811
1,15.264,60.37735849
1,15.37,75.47169811
1,15.476,66.03773585
1,15.582,62.26415094
1,15.688,60.37735849
1,15.794,75.47169811
1,15.9,52.83018868
1,16.006,56.60377358
1,16.112,66.03773585
1,16.218,49.05660377
1,16.324,67.9245283
1,16.43,37.73584905
1,16.536,69.81132075
1,16.642,54.71698113
1,16.748,49.05660377
1,16.854,43.39622641
1,16.96,56.60377358
1,17.066,54.71698113
1,17.172,49.05660377
1,17.278,58.49056604
1,17.384,33.96226415
1,17.49,49.05660378
1,17.596,56.60377358
1,17.702,43.39622642
1,17.808,58.49056604
1,17.914,45.28301887
1,18.02,54.71698113
1,18.126,43.39622642
1,18.232,52.83018868
1,18.338,58.49056604
1,18.444,33.96226415
1,18.55,52.83018868
1,18.656,32.0754717
1,18.762,35.84905661
1,18.868,24.52830189
1,18.974,30.18867925
1,19.08,43.39622641
1,19.186,28.30188679
1,19.292,43.39622642
1,19.398,41.50943396
1,19.504,37.73584906
1,19.61,28.30188679
1,19.716,39.62264151
1,19.822,30.18867924
1,19.928,30.18867925
1,20.034,39.62264151
1,20.14,33.96226415
1,20.246,24.52830189
1,20.352,35.8490566
1,20.458,35.8490566
1,20.564,20.75471698
1,20.67,30.18867925
1,20.776,43.39622641
1,20.882,18.86792453
1,20.988,32.0754717
1,21.094,45.28301887
1,21.2,32.0754717
1,21.306,18.86792453
1,21.412,35.8490566
1,21.518,16.98113208
1,21.624,22.64150943
1,21.73,24.52830189
1,21.836,24.52830189
1,21.942,22.64150943
1,22.048,16.98113208
1,22.154,20.75471698
1,22.26,30.18867925
1,22.366,28.30188679
1,22.472,24.52830189
1,22.578,24.52830189
1,22.684,18.86792453
1,22.79,18.86792453
1,22.896,16.98113208
1,23.002,20.75471698
1,23.108,16.98113208
1,23.214,26.41509434
1,23.32,22.64150943
1,23.426,15.09433962
1,23.532,13.20754717
