set,z,conc
1,0.25,803.68095
1,0.5,829.6982751
1,0.75,794.9996521
1,1,810.2566844
1,1.25,798.0816125
1,1.5,770.556518
1,1.75,778.5071788
1,2,756.3755149
1,2.25,696.5164051
1,2.5,667.5167519
1,2.75,652.4523421
1,3,661.9506252
1,3.25,624.5486448
1,3.5,587.1466643
1,3.75,565.8386278
1,4,529.5990247
1,4.25,533.1990732
1,4.5,508.9751303
1,4.75,514.8667227
1,5,486.2988097
1,5.25,477.2189824
1,5.5,452.9286179
1,5.75,443.7558005
1,6,445.7883002
1,6.25,427.2766114
1,6.5,392.006763
1,6.75,366.8462761
1,7,355.4682629
1,7.25,334.5786823
1,7.5,319.793243
1,7.75,300.5110641
1,8,296.8844469
1,8.25,287.2201099
1,8.5,287.691703
1,8.75,279.7609687
1,9,263.0094513
1,9.25,264.5172207
1,9.5,258.911241
1,9.75,241.9803854
1,10,228.383892
1,10.25,220.6391381
1,10.5,219.8088686
1,10.75,209.3341886
1,11,194.7081611
1,11.25,190.6896567
1,11.5,184.9840447
1,11.75,176.5418644
1,12,180.739707
1,12.25,173.1012276
1,12.5,160.5276263
1,12.75,153.7393429
1,13,150.3452012
1,13.25,132.457875
1,13.5,131.8135859
1,13.75,127.5758904
1,14,125.390621
1,14.25,121.7772882
1,14.5,120.7610383
1,14.75,113.1159168
1,15,102.7940063
1,15.25,102.355624
1,15.5,103.6442023
1,15.75,91.7148901
1,16,96.61680123
1,16.25,84.04319992
1,16.5,78.15160754
1,16.75,83.25278335
1,17,74.57812761
1,17.25,72.465922
1,17.5,68.95222148
1,17.75,64.74109457
1,18,74.19288256
1,18.25,67.13227073
1,18.5,66.87986881
1,18.75,57.93288467
1,19,52.47303243
1,19.25,48.37482218
1,19.5,53.14389019
1,19.75,52.83170886
1,20,45.13345005
1,20.25,50.65972384
1,20.5,47.87001832
1,20.75,47.25229781
1,21,43.7518816
1,21.25,47.85673401
1,21.5,40.80940649
1,21.75,35.5687454
1,22,35.34955425
1,22.25,33.69565741
1,22.5,33.50967704
1,22.75,32.40707914
1,23,31.38418712
1,23.25,29.53766775
1,23.5,28.46163848
1,23.75,22.012105
1,24,26.69482498
1,24.25,23.20769308
1,24.5,26.72803576
1,24.75,20.42462971
1,25,19.60764452
1,25.25,21.10212962
1,25.5,21.10212962
1,25.75,17.45558598
1,26,19.24232595
1,26.25,19.58771805
1,26.5,16.96406643
1,26.75,12.34112586
1,27,14.44668931
1,27.25,18.23271823
1,27.5,16.40612533
1,27.75,17.2563213
1,28,12.62673856
1,28.25,11.71012104
1,28.5,11.85624847
1,28.75,12.06879746
1,29,14.24742463
1,29.25,4.297474935
