set,z,num
1,0.25,158
1,0.5,152.4
1,0.75,121.4
1,1,104.2
1,1.25,89.4
1,1.5,76.2
1,1.75,66.4
1,2,48.4
1,2.25,39.8
1,2.5,31.6
1,2.75,25.8
1,3,21.6
1,3.25,20
1,3.5,11.2
1,3.75,10.4
1,4,7.2
1,4.25,7.4
1,4.5,4.8
1,4.75,3.2
1,5,1.8
1,5.25,2.2
1,5.5,2.6
1,5.75,1.6
1,6,1.8
1,6.25,0.6
1,6.5,1.4
1,6.75,0.2
1,7,0.2
1,7.25,0.4
1,7.5,0.4
1,7.75,0.2
1,8,0
1,8.25,0
1,8.5,0.2
1,8.75,0
1,9,0
1,9.25,0
1,9.5,0.4
1,9.75,0
1,10,0
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0
1,11.75,0
1,12,0
1,12.25,0
1,12.5,0
1,12.75,0
1,13,0
1,13.25,0
1,13.5,0
1,13.75,0
1,14,0
1,14.25,0
1,14.5,0
1,14.75,0
1,15,0
1,15.25,0
1,15.5,0
1,15.75,0
1,16,0
1,16.25,0
1,16.5,0
1,16.75,0
1,17,0
1,17.25,0
1,17.5,0
1,17.75,0
1,18,0
1,18.25,0
1,18.5,0
1,18.75,0
1,19,0
1,19.25,0
1,19.5,0
1,19.75,0
1,20,0
1,20.25,0
1,20.5,0
1,20.75,0
1,21,0
1,21.25,0
1,21.5,0
1,21.75,0
1,22,0
1,22.25,0
1,22.5,0
1,22.75,0
1,23,0
1,23.25,0
1,23.5,0
1,23.75,0
1,24,0
1,24.25,0
1,24.5,0
1,24.75,0
1,25,0
1,25.25,0
1,25.5,0
1,25.75,0
1,26,0
1,26.25,0
1,26.5,0
1,26.75,0
1,27,0
1,27.25,0
1,27.5,0
1,27.75,0
1,28,0
1,28.25,0
1,28.5,0
1,28.75,0
1,29,0
1,29.25,0
