set,int,length
3,0,612.9
3,0,315.9
3,0,45.9
3,0,75.6
3,0,54
3,0,40.5
3,0,172.8
3,0,180.9
3,0,210.6
3,0,348.3
3,0,108
3,0,210.6
3,0,232.2
3,0,156.6
3,0,348.3
3,0,8.1
3,0,742.5
3,0,72.9
3,0,191.7
3,0,483.3
4,0,218.7
3,0,410.4
3,0,199.8
3,0,224.1
4,0,405
3,0,742.5
3,0,715.5
3,0,232.2
3,0,167.4
3,0,102.6
3,0,348.3
3,0,359.1
3,0,739.8
3,0,580.5
3,0,307.8
3,0,556.2
3,0,477.9
3,0,70.2
3,0,464.4
3,0,135
3,0,307.8
3,0,167.4
3,0,680.4
3,0,612.9
3,0,259.2
4,0,467.1
3,0,234.9
3,0,432
3,0,199.8
3,0,375.3
3,0,569.7
3,0,267.3
3,0,256.5
3,0,16.2
3,0,299.7
3,0,545.4
3,0,769.5
4,0,153.9
3,0,40.5
3,0,342.9
3,0,45.9
3,0,375.3
4,0,32.4
3,0,240.3
3,0,121.5
3,0,35.1
3,0,318.6
3,0,739.8
3,0,261.9
3,0,772.2
3,0,294.3
3,0,259.2
3,0,321.3
3,0,540
3,0,315.9
3,0,434.7
3,0,340.2
3,0,467.1
3,0,321.3
3,0,642.6
3,0,221.4
3,0,232.2
3,0,861.3
3,0,218.7
3,0,391.5
3,0,529.2
3,0,334.8
3,0,356.4
3,0,1390.5
3,0,507.6
3,0,159.3
3,0,502.2
3,0,251.1
3,0,567
3,0,815.4
3,0,675
4,0,318.6
3,0,232.2
3,0,826.2
3,0,364.5
3,0,483.3
3,0,618.3
4,0,37.8
3,0,32.4
3,0,426.6
3,0,553.5
3,0,43.2
3,0,94.5
3,0,631.8
3,0,394.2
3,0,302.4
4,0,321.3
3,0,564.3
3,0,556.2
3,0,747.9
3,0,35.1
3,0,521.1
3,0,240.3
3,0,518.4
3,0,297
3,0,243
3,0,324
3,0,364.5
4,0,140.4
3,0,334.8
3,0,610.2
3,0,631.8
4,0,229.5
3,0,283.5
3,0,480.6
4,0,650.7
3,0,388.8
3,0,529.2
4,0,178.2
4,0,442.8
3,0,248.4
4,0,421.2
3,0,664.2
3,0,434.7
3,0,658.8
3,0,229.5
3,0,272.7
4,0,21.6
3,0,429.3
3,0,553.5
3,0,264.6
3,0,602.1
3,0,275.4
3,0,126.9
3,0,421.2
4,0,351
3,0,305.1
3,0,310.5
3,0,337.5
3,0,388.8
3,0,299.7
3,0,372.6
3,0,324
3,0,334.8
3,0,631.8
3,0,488.7
3,0,283.5
3,0,631.8
3,0,313.2
3,0,351
3,0,180.9
3,0,394.2
3,0,256.5
3,0,531.9
3,0,272.7
3,0,221.4
3,0,135
3,0,523.8
3,0,221.4
3,0,305.1
3,0,86.4
4,0,480.6
3,0,272.7
3,0,753.3
4,0,94.5
3,0,364.5
4,0,234.9
3,0,383.4
3,0,504.9
3,0,523.8
3,0,353.7
3,0,110.7
3,0,275.4
3,0,561.6
3,0,270
3,0,410.4
4,0,656.1
3,0,321.3
4,0,21.6
3,0,334.8
3,0,461.7
4,0,963.9
3,0,502.2
3,0,356.4
3,0,442.8
4,0,64.8
3,0,513
4,0,110.7
3,0,108
4,0,480.6
3,0,21.6
4,0,637.2
3,0,704.7
4,0,24.3
3,0,318.6
4,0,507.6
3,0,369.9
4,0,75.6
3,0,1182.6
3,0,297
3,0,607.5
4,0,145.8
4,0,326.7
3,0,369.9
3,0,137.7
3,0,186.3
3,0,418.5
4,0,615.6
3,0,515.7
