set,z,num
1,0.106,2432.075472
1,0.212,747.1698113
1,0.318,639.6226415
1,0.424,694.3396227
1,0.53,700
1,0.636,718.8679245
1,0.742,686.7924528
1,0.848,628.3018868
1,0.954,600
1,1.06,635.8490566
1,1.166,615.0943396
1,1.272,632.0754717
1,1.378,601.8867924
1,1.484,518.8679245
1,1.59,552.8301887
1,1.696,515.0943396
1,1.802,518.8679245
1,1.908,430.1886792
1,2.014,424.5283019
1,2.12,430.1886793
1,2.226,384.9056604
1,2.332,433.9622642
1,2.438,424.5283019
1,2.544,328.3018868
1,2.65,316.9811321
1,2.756,347.1698113
1,2.862,328.3018868
1,2.968,267.9245283
1,3.074,203.7735849
1,3.18,237.735849
1,3.286,216.9811321
1,3.392,203.7735849
1,3.498,183.0188679
1,3.604,184.9056604
1,3.71,162.264151
1,3.816,179.245283
1,3.922,133.9622642
1,4.028,158.4905661
1,4.134,143.3962264
1,4.24,124.5283019
1,4.346,132.0754717
1,4.452,105.6603774
1,4.558,116.9811321
1,4.664,101.8867924
1,4.77,88.67924529
1,4.876,84.90566037
1,4.982,83.01886793
1,5.088,47.16981132
1,5.194,50.94339623
1,5.3,49.05660377
1,5.406,41.50943396
1,5.512,47.16981132
1,5.618,47.16981132
1,5.724,33.96226415
1,5.83,33.96226415
1,5.936,35.8490566
1,6.042,32.0754717
1,6.148,32.0754717
1,6.254,49.05660377
1,6.36,35.8490566
1,6.466,28.30188679
1,6.572,16.98113208
1,6.678,16.98113208
1,6.784,20.75471698
1,6.89,18.86792453
1,6.996,15.09433962
1,7.102,13.20754717
1,7.208,3.773584906
1,7.314,11.32075472
1,7.42,11.32075472
1,7.526,5.660377358
1,7.632,3.773584906
1,7.738,5.660377358
1,7.844,9.433962265
1,7.95,11.32075472
1,8.056,3.773584906
1,8.162,9.433962264
1,8.268,3.773584906
1,8.374,7.547169812
1,8.48,0
1,8.586,0
1,8.692,0
1,8.798,1.886792453
1,8.904,3.773584906
1,9.01,1.886792453
1,9.116,3.773584906
1,9.222,0
1,9.328,0
1,9.434,0
1,9.54,0
1,9.646,1.886792453
1,9.752,1.886792453
1,9.858,0
1,9.964,0
1,10.07,1.886792453
1,10.176,0
1,10.282,0
1,10.388,0
1,10.494,0
1,10.6,0
1,10.706,0
1,10.812,0
1,10.918,0
1,11.024,0
1,11.13,0
1,11.236,0
1,11.342,1.886792453
1,11.448,0
