set,z,conc
1,0.25,741.729561
1,0.5,734.3169149
1,0.75,719.9366471
1,1,668.5529283
1,1.25,610.0222496
1,1.5,563.7795595
1,1.75,494.8140537
1,2,448.2326136
1,2.25,394.9492382
1,2.5,367.4706388
1,2.75,315.3496406
1,3,299.0830006
1,3.25,223.9602161
1,3.5,207.1622036
1,3.75,171.3410563
1,4,148.5252504
1,4.25,145.0447607
1,4.5,116.0251811
1,4.75,102.608026
1,5,77.68665662
1,5.25,53.45607152
1,5.5,41.93857301
1,5.75,36.36580412
1,6,29.25205504
1,6.25,30.15538826
1,6.5,27.23283962
1,6.75,24.38999685
1,7,16.9242135
1,7.25,11.54406713
1,7.5,9.411935058
1,7.75,5.572768887
1,8,7.625195094
1,8.25,5.659116915
1,8.5,3.40742603
1,8.75,0.484877388
1,9,2.025857581
1,9.25,1.335073357
1,9.5,0.36531858
1,9.75,1.089313585
1,10,0.650931288
1,10.25,0.790416564
1,10.5,0.119558808
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0.59779404
