set,z,num
1,0.25,168.2
1,0.5,152.2
1,0.75,140
1,1,117.6
1,1.25,94.8
1,1.5,86.8
1,1.75,72.2
1,2,55
1,2.25,39.4
1,2.5,43
1,2.75,30.2
1,3,23.8
1,3.25,15.6
1,3.5,13.6
1,3.75,11.8
1,4,6.4
1,4.25,6.4
1,4.5,4.4
1,4.75,4.6
1,5,4.8
1,5.25,2.4
1,5.5,1.2
1,5.75,1.8
1,6,1
1,6.25,1.4
1,6.5,1.2
1,6.75,0.4
1,7,0
1,7.25,0
1,7.5,0.4
1,7.75,0
1,8,0.2
1,8.25,0.2
1,8.5,0.2
1,8.75,0
1,9,0
1,9.25,0
1,9.5,0
1,9.75,0
1,10,0
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0
