set,int,length
3,0,283.5
3,0,132.3
3,0,86.4
3,0,275.4
3,0,194.4
3,0,59.4
3,0,367.2
3,0,172.8
3,0,97.2
3,0,251.1
3,0,156.6
3,0,626.4
3,0,394.2
4,0,445.5
3,0,243
3,0,253.8
3,0,315.9
3,0,305.1
4,0,272.7
3,0,494.1
3,0,283.5
3,0,734.4
3,0,553.5
3,0,553.5
3,0,321.3
3,0,13.5
3,0,1247.4
3,0,48.6
3,0,251.1
3,0,218.7
3,0,504.9
3,0,253.8
3,0,240.3
3,0,232.2
3,0,450.9
3,0,542.7
3,0,375.3
3,0,121.5
3,0,356.4
3,0,407.7
3,0,40.5
3,0,483.3
3,0,143.1
3,0,318.6
3,0,534.6
3,0,43.2
4,0,351
3,0,437.4
3,0,291.6
3,0,218.7
3,0,245.7
3,0,507.6
3,0,78.3
3,0,297
3,0,337.5
3,0,116.1
3,0,272.7
3,0,294.3
3,0,507.6
3,0,253.8
4,0,110.7
3,0,432
4,0,226.8
3,0,264.6
3,0,256.5
3,0,402.3
4,0,35.1
3,0,291.6
3,0,342.9
3,0,237.6
3,0,81
4,0,426.6
3,0,359.1
3,0,356.4
4,0,186.3
4,0,596.7
3,0,299.7
3,0,72.9
3,0,43.2
4,0,278.1
3,0,164.7
3,0,337.5
3,0,253.8
3,0,418.5
3,0,32.4
3,0,237.6
3,0,234.9
3,0,75.6
4,0,221.4
4,0,251.1
3,0,243
4,0,351
3,0,405
4,0,324
4,0,221.4
4,0,97.2
3,0,86.4
3,0,56.7
4,0,251.1
3,0,59.4
4,0,183.6
4,0,297
3,0,83.7
3,0,232.2
4,0,16.2
4,0,326.7
3,0,83.7
3,0,194.4
4,0,480.6
3,0,226.8
3,0,35.1
3,0,56.7
4,0,78.3
4,0,234.9
4,0,272.7
3,0,156.6
3,0,283.5
4,0,234.9
4,0,164.7
4,0,318.6
4,0,234.9
4,0,321.3
4,0,140.4
4,0,710.1
4,0,464.4
3,0,29.7
4,0,194.4
4,0,251.1
4,0,259.2
4,0,599.4
4,0,272.7
4,0,302.4
4,0,661.5
4,0,488.7
3,0,8.1
4,0,143.1
3,0,332.1
4,0,216
4,0,480.6
4,0,267.3
4,0,172.8
3,0,675
4,0,45.9
4,0,388.8
4,0,356.4
4,0,32.4
3,0,510.3
4,0,464.4
4,0,18.9
4,0,45.9
4,0,432
4,0,129.6
4,0,224.1
4,0,224.1
4,0,180.9
3,0,423.9
4,0,631.8
4,0,391.5
4,0,504.9
4,0,43.2
3,0,334.8
3,0,72.9
4,0,299.7
4,0,391.5
4,0,54
3,0,270
4,0,272.7
4,0,99.9
4,0,234.9
4,0,256.5
4,0,124.2
4,0,324
3,0,226.8
3,0,270
4,0,988.2
4,0,364.5
4,0,45.9
4,0,351
3,0,24.3
4,0,226.8
3,0,186.3
4,0,175.5
4,0,1215
4,0,324
4,0,402.3
4,0,8.1
4,0,5.4
3,0,186.3
4,0,626.4
4,0,288.9
4,0,99.9
4,0,332.1
3,0,272.7
4,0,226.8
3,0,302.4
4,0,283.5
4,0,135
4,0,226.8
4,0,386.1
4,0,315.9
2,0,145.8
4,0,337.5
4,0,197.1
3,0,307.8
4,0,189
4,0,32.4
4,0,591.3
4,0,143.1
4,0,175.5
4,0,145.8
4,0,380.7
4,0,434.7
4,0,256.5
4,0,226.8
3,0,302.4
4,0,97.2
4,0,445.5
4,0,591.3
4,0,556.2
4,0,221.4
3,0,54
4,0,421.2
4,0,380.7
4,0,267.3
3,0,299.7
4,0,378
4,0,156.6
4,0,558.9
4,0,440.1
4,0,72.9
4,0,126.9
4,0,383.4
3,0,245.7
4,0,121.5
4,0,421.2
4,0,29.7
4,0,218.7
4,0,272.7
4,0,253.8
4,0,405
4,0,29.7
4,0,472.5
4,0,761.4
4,0,283.5
4,0,477.9
4,0,415.8
4,0,531.9
4,0,399.6
4,0,267.3
4,0,83.7
4,0,456.3
4,0,256.5
4,0,361.8
3,0,251.1
4,0,251.1
3,0,89.1
4,0,162
4,0,232.2
4,0,135
4,0,56.7
4,0,229.5
4,0,218.7
4,0,364.5
4,0,135
4,0,345.6
4,0,396.9
4,0,429.3
4,0,18.9
4,0,135
4,0,415.8
4,0,297
3,0,183.6
4,0,186.3
4,0,70.2
4,0,386.1
3,0,521.1
4,0,380.7
4,0,261.9
4,0,259.2
4,0,126.9
4,0,54
4,0,62.1
3,0,83.7
4,0,121.5
4,0,135
3,0,197.1
4,0,472.5
4,0,234.9
3,0,35.1
4,0,467.1
4,0,43.2
4,0,205.2
4,0,145.8
4,0,423.9
3,0,801.9
4,0,180.9
4,0,367.2
4,0,310.5
4,0,99.9
4,0,137.7
4,0,367.2
4,0,224.1
4,0,159.3
4,0,837
4,0,199.8
4,0,178.2
4,0,283.5
3,0,261.9
4,0,234.9
4,0,251.1
4,0,10.8
4,0,318.6
4,0,383.4
4,0,54
2,0,612.9
3,0,321.3
4,0,148.5
3,0,429.3
3,0,83.7
4,0,43.2
4,0,135
4,0,218.7
4,0,240.3
4,0,197.1
4,0,216
4,0,264.6
3,0,415.8
4,0,62.1
4,0,240.3
4,0,218.7
4,0,121.5
4,0,359.1
4,0,259.2
4,0,183.6
3,0,56.7
4,0,270
4,0,324
4,0,151.2
4,0,237.6
4,0,83.7
4,0,37.8
4,0,189
4,0,102.6
4,0,151.2
4,0,70.2
3,0,5.4
4,0,421.2
4,0,202.5
4,0,32.4
4,0,172.8
4,0,140.4
4,0,59.4
3,0,407.7
4,0,86.4
4,0,143.1
3,0,626.4
3,0,383.4
4,0,29.7
4,0,62.1
4,0,67.5
4,0,178.2
4,0,70.2
4,0,29.7
4,0,99.9
4,0,64.8
3,0,110.7
4,0,645.3
4,0,313.2
3,0,245.7
4,0,510.3
4,0,99.9
3,0,280.8
4,0,16.2
4,0,13.5
3,0,399.6
4,0,256.5
4,0,64.8
3,0,16.2
4,0,97.2
4,0,253.8
4,0,159.3
4,0,37.8
3,0,243
4,0,405
4,0,21.6
4,0,464.4
4,0,321.3
4,0,16.2
4,0,2.7
3,0,151.2
3,0,240.3
3,0,604.8
3,0,148.5
4,0,278.1
3,0,29.7
4,0,326.7
3,0,288.9
4,0,442.8
3,0,32.4
4,0,502.2
3,0,72.9
4,0,59.4
3,0,143.1
3,0,13.5
4,0,267.3
