Time,Speckle_ID,dist_from_PE,Init_spec_time,Fil_ID,init_x,init_y,init_z,fin_x,fin_y,fin_z,type,origin
130,20268,0,109.2,33872,-0.945350052,0.069538027,0.00166224,-0.945350052,0.069538027,4.15166224,0,0
130,19457,41,105.1,35002,-1.064313334,0.065817403,0.00726083,-1.064313334,0.065817403,4.98806083,2,0
130,21206,4,114.2,35131,-0.749285741,0.028458593,0.005742708,-0.749285741,0.028458593,3.162142708,2,0
130,21307,51,114.7,35131,-0.80335311,0.010795518,0.001503978,-0.80335311,0.010795518,3.048703978,2,0
130,23274,39,125,40322,1.910310287,0.045773539,0.006691816,1.910310287,0.045773539,1.012691816,2,0
130,20878,11,112.4,40376,-0.811968827,0.120413793,0.006535772,-0.811968827,0.120413793,3.528535772,2,0
130,21031,75,113.2,40376,-0.882075366,0.123251684,0.005021683,-0.882075366,0.123251684,3.370621683,2,0
130,22789,10,122.5,40876,-1.949657581,0.120144274,0.011044165,-1.949657581,0.120144274,1.511844165,2,0
130,22808,23,122.6,40876,-1.972951752,0.123257741,0.007773147,-1.972951752,0.123257741,1.485773147,2,0
130,22903,69,123,40876,-2.055377277,0.134274625,0.003921854,-2.055377277,0.134274625,1.393521854,2,0
130,24081,6,129.5,40684,-0.919388371,0.128969745,0.005791475,-0.919388371,0.128969745,0.111391475,2,0
130,21641,0,116.5,36179,-1.605145418,0.03628368,0.005485904,-1.605145418,0.03628368,2.712685904,0,0
130,19574,55,105.6,36299,-1.014695158,0.143553448,0.003761589,-1.014695158,0.143553448,4.883761589,2,0
130,21491,10,115.7,40885,-0.765828179,0.169057863,0.001064529,-0.765828179,0.169057863,2.862664529,2,0
130,21595,51,116.2,40885,-0.719072026,0.180907162,0.005425449,-0.719072026,0.180907162,2.763025449,2,0
130,21621,64,116.4,40885,-0.704246904,0.184664257,0.00263257,-0.704246904,0.184664257,2.73143257,2,0
130,21819,0,117.4,36566,-0.75136727,0.182029341,0.003679224,-0.75136727,0.182029341,2.529279224,0,0
130,21424,0,115.3,35931,0.098365634,0.019536271,0.004266363,0.098365634,0.019536271,2.941866363,0,0
130,20408,5,110,39924,-1.210025947,0.150025455,0.008441135,-1.210025947,0.150025455,4.019641135,2,0
130,23424,6,125.6,40027,-0.72555562,0.17004956,0.005379883,-0.72555562,0.17004956,0.888579883,2,0
130,23500,45,126.1,40027,-0.674873614,0.176828449,0.006128425,-0.674873614,0.176828449,0.796528425,2,0
130,21047,19,113.3,36765,-0.685792458,0.157313169,0.001900552,-0.685792458,0.157313169,3.360300552,2,0
130,21118,50,113.6,36765,-0.643700062,0.154720294,0.006401194,-0.643700062,0.154720294,3.288001194,2,0
130.1,21571,0,116.1,36819,3.225281042,0.120158302,0.010365038,3.225281042,0.120158302,2.794365038,0,0
130.1,22963,0,123.3,38485,-1.588693845,0.156048143,0.001912466,-1.588693845,0.156048143,1.349512466,0,0
130.1,19958,65,107.6,37120,-1.019789034,0.017871876,0.004696438,-1.019789034,0.017871876,4.491496438,2,0
130.1,19975,70,107.7,37120,-1.027411905,0.016745579,0.005211615,-1.027411905,0.016745579,4.480411615,2,0
130.1,22383,5,120.5,39573,-2.613273177,0.162741664,0.010191258,-2.613273177,0.162741664,1.928191258,2,0
130.1,23040,28,123.7,38666,-1.08970785,0.193266725,7.13E-04,-1.08970785,0.193266725,1.283113165,2,0
130.1,22955,44,123.3,40903,-1.621332137,0.138155216,0.004086287,-1.621332137,0.138155216,1.360086287,2,0
130.1,23020,24,123.6,38397,-1.66162211,0.138730686,0.00593246,-1.66162211,0.138730686,1.30633246,2,0
130.1,22073,8,118.8,40169,-1.285168965,0.163453565,0.005348614,-1.285168965,0.163453565,2.258148614,2,0
