dataset,x,y
1,0.25,134.8
1,0.5,142.4
1,0.75,128.8
1,1,129.4
1,1.25,118.6
1,1.5,115.2
1,1.75,102
1,2,99.2
1,2.25,79.2
1,2.5,68.4
1,2.75,69.8
1,3,53.8
1,3.25,53.4
1,3.5,45
1,3.75,37
1,4,34.2
1,4.25,31
1,4.5,28.2
1,4.75,15.4
1,5,10.6
1,5.25,8.2
1,5.5,10.8
1,5.75,8.6
1,6,4.8
1,6.25,4.8
1,6.5,2.2
1,6.75,2
1,7,0.8
1,7.25,1.8
1,7.5,0.8
1,7.75,1.6
1,8,0.8
1,8.25,0
1,8.5,0.6
1,8.75,0
1,9,0.2
1,9.25,0.4
1,9.5,0
1,9.75,0
1,10,0.6
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0.2
1,11.25,0
1,11.5,0
2,0.25,270.8
2,0.5,146
2,0.75,150.4
2,1,133
2,1.25,137.8
2,1.5,134.6
2,1.75,132.8
2,2,129.4
2,2.25,110.4
2,2.5,99.8
2,2.75,103
2,3,96.4
2,3.25,92.4
2,3.5,73.2
2,3.75,71.8
2,4,69.6
2,4.25,65.2
2,4.5,51.8
2,4.75,41
2,5,32
2,5.25,41.4
2,5.5,32.6
2,5.75,29.8
2,6,27
2,6.25,23.8
2,6.5,19.2
2,6.75,18
2,7,14.6
2,7.25,12.4
2,7.5,13
2,7.75,10
2,8,8.4
2,8.25,5.8
2,8.5,7.4
2,8.75,4.6
2,9,5
2,9.25,3
2,9.5,3
2,9.75,1.8
2,10,3.6
2,10.25,1.4
2,10.5,1
2,10.75,2
2,11,1.2
2,11.25,0.6
2,11.5,0.6
