set,int,length
3,0,110.7
3,0,251.1
3,0,280.8
3,0,294.3
3,0,909.9
3,0,21.6
3,0,89.1
3,0,156.6
3,0,164.7
3,0,345.6
3,0,2.7
3,0,253.8
3,0,305.1
3,0,272.7
3,0,116.1
3,0,221.4
3,0,32.4
3,0,43.2
3,0,210.6
3,0,156.6
3,0,27
3,0,367.2
3,0,243
3,0,240.3
3,0,113.4
3,0,78.3
3,0,278.1
3,0,531.9
3,0,37.8
3,0,496.8
3,0,351
3,0,488.7
3,0,472.5
3,0,16.2
3,0,459
3,0,54
3,0,261.9
3,0,607.5
3,0,499.5
3,0,226.8
3,0,83.7
3,0,297
3,0,121.5
3,0,191.7
3,0,143.1
3,0,607.5
3,0,372.6
3,0,426.6
3,0,224.1
3,0,434.7
3,0,86.4
3,0,124.2
3,0,159.3
3,0,418.5
3,0,313.2
3,0,542.7
3,0,229.5
3,0,35.1
3,0,523.8
3,0,421.2
3,0,448.2
3,0,402.3
3,0,221.4
3,0,715.5
3,0,75.6
3,0,35.1
3,0,110.7
3,0,137.7
3,0,189
3,0,345.6
3,0,785.7
3,0,383.4
3,0,353.7
3,0,264.6
3,0,707.4
3,0,537.3
3,0,472.5
3,0,81
3,0,364.5
3,0,747.9
3,0,305.1
3,0,364.5
3,0,94.5
3,0,140.4
3,0,410.4
3,0,413.1
3,0,561.6
3,0,291.6
3,0,507.6
3,0,947.7
3,0,162
3,0,685.8
3,0,523.8
3,0,153.9
3,0,37.8
3,0,299.7
3,0,642.6
3,0,342.9
3,0,880.2
3,0,172.8
3,0,299.7
3,0,639.9
3,0,491.4
4,0,342.9
3,0,194.4
3,0,226.8
3,0,232.2
3,0,197.1
3,0,610.2
3,0,229.5
4,0,237.6
3,0,218.7
3,0,259.2
3,0,288.9
3,0,653.4
3,0,18.9
3,0,569.7
3,0,510.3
3,0,556.2
3,0,531.9
3,0,421.2
3,0,548.1
4,0,72.9
3,0,270
3,0,291.6
3,0,407.7
3,0,275.4
3,0,210.6
3,0,410.4
3,0,680.4
4,0,48.6
3,0,234.9
3,0,305.1
3,0,264.6
3,0,191.7
3,0,367.2
3,0,540
3,0,178.2
3,0,51.3
3,0,513
4,0,91.8
3,0,243
3,0,329.4
3,0,229.5
3,0,64.8
3,0,442.8
3,0,234.9
3,0,685.8
4,0,361.8
3,0,78.3
3,0,321.3
3,0,213.3
4,0,132.3
3,0,326.7
3,0,118.8
3,0,240.3
3,0,707.4
4,0,48.6
3,0,175.5
3,0,278.1
4,0,162
3,0,91.8
3,0,583.2
3,0,380.7
3,0,48.6
3,0,480.6
3,0,639.9
3,0,510.3
3,0,324
3,0,37.8
3,0,612.9
4,0,8.1
3,0,302.4
3,0,855.9
3,0,121.5
3,0,67.5
3,0,245.7
3,0,275.4
3,0,91.8
3,0,307.8
3,0,189
3,0,334.8
3,0,27
3,0,580.5
4,0,383.4
3,0,256.5
3,0,391.5
3,0,480.6
4,0,413.1
3,0,213.3
3,0,585.9
4,0,213.3
3,0,332.1
4,0,135
3,0,378
3,0,27
3,0,1728
3,0,472.5
4,0,297
3,0,504.9
4,0,27
3,0,105.3
3,0,569.7
4,0,305.1
3,0,278.1
3,0,243
3,0,56.7
3,0,345.6
3,0,62.1
3,0,375.3
4,0,8.1
3,0,102.6
3,0,27
3,0,183.6
3,0,89.1
3,0,639.9
4,0,594
3,0,91.8
4,0,45.9
3,0,218.7
3,0,261.9
4,0,124.2
3,0,367.2
3,0,40.5
4,0,337.5
3,0,399.6
3,0,151.2
3,0,172.8
3,0,259.2
3,0,375.3
