dataset,x,y
1,2,222
1,2.25,205
1,2.5,170
1,2.75,178
1,3,154
1,3.25,94
1,3.5,96
1,3.75,89
1,4,86
1,4.25,74
1,4.5,45
1,4.75,36
1,5,16
1,5.25,19
1,5.5,15
1,5.75,8
1,6,10
1,6.25,11
1,6.5,7
1,6.75,9
1,7,9
1,7.25,6
1,7.5,4
1,7.75,0
1,8,1
1,8.25,0
1,8.5,0
1,8.75,0
1,9,2
1,9.25,0
1,9.5,1
1,9.75,0
1,10,0
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,1
1,11.75,0
1,12,0
1,12.25,1
1,12.5,2
1,12.75,0
1,0.25,283
1,0.5,282
1,0.75,281
1,1,258
1,1.25,228
1,1.5,255
1,1.75,238
2,2,255
2,2.25,261
2,2.5,226
2,2.75,251
2,3,216
2,3.25,166
2,3.5,176
2,3.75,151
2,4,145
2,4.25,129
2,4.5,84
2,4.75,81
2,5,73
2,5.25,68
2,5.5,54
2,5.75,45
2,6,47
2,6.25,32
2,6.5,41
2,6.75,43
2,7,39
2,7.25,25
2,7.5,28
2,7.75,21
2,8,14
2,8.25,11
2,8.5,15
2,8.75,9
2,9,14
2,9.25,9
2,9.5,5
2,9.75,16
2,10,4
2,10.25,2
2,10.5,5
2,10.75,1
2,11,4
2,11.25,2
2,11.5,0
2,11.75,0
2,12,3
2,12.25,2
2,12.5,3
2,12.75,0
2,0.25,556
2,0.5,305
2,0.75,327
2,1,282
2,1.25,294
2,1.5,276
2,1.75,287
3,2,198
3,2.25,209
3,2.5,181
3,2.75,185
3,3,164
3,3.25,130
3,3.5,142
3,3.75,116
3,4,104
3,4.25,92
3,4.5,60
3,4.75,60
3,5,65
3,5.25,55
3,5.5,37
3,5.75,35
3,6,38
3,6.25,23
3,6.5,28
3,6.75,33
3,7,31
3,7.25,19
3,7.5,23
3,7.75,18
3,8,7
3,8.25,8
3,8.5,14
3,8.75,9
3,9,7
3,9.25,8
3,9.5,3
3,9.75,13
3,10,3
3,10.25,2
3,10.5,4
3,10.75,1
3,11,3
3,11.25,2
3,11.5,0
3,11.75,0
3,12,3
3,12.25,1
3,12.5,3
3,12.75,0
3,0.25,446
3,0.5,241
3,0.75,267
3,1,225
3,1.25,231
3,1.5,210
3,1.75,223
4,2,54
4,2.25,65
4,2.5,56
4,2.75,84
4,3,96
4,3.25,88
4,3.5,67
4,3.75,73
4,4,80
4,4.25,71
4,4.5,59
4,4.75,71
4,5,53
4,5.25,41
4,5.5,54
4,5.75,51
4,6,38
4,6.25,39
4,6.5,33
4,6.75,31
4,7,41
4,7.25,20
4,7.5,26
4,7.75,25
4,8,25
4,8.25,16
4,8.5,6
4,8.75,17
4,9,14
4,9.25,12
4,9.5,10
4,9.75,7
4,10,10
4,10.25,8
4,10.5,6
4,10.75,4
4,11,2
4,11.25,1
4,11.5,3
4,11.75,1
4,12,0
4,12.25,1
4,12.5,4
4,12.75,0
4,0.25,4
4,0.5,17
4,0.75,32
4,1,49
4,1.25,53
4,1.5,44
4,1.75,45
5,2,0
5,2.25,0
5,2.5,0
5,2.75,0
5,3,0
5,3.25,0
5,3.5,0
5,3.75,0
5,4,0
5,4.25,0
5,4.5,0
5,4.75,0
5,5,0
5,5.25,0
5,5.5,0
5,5.75,0
5,6,0
5,6.25,0
5,6.5,0
5,6.75,0
5,7,0
5,7.25,0
5,7.5,0
5,7.75,0
5,8,0
5,8.25,0
5,8.5,0
5,8.75,0
5,9,0
5,9.25,0
5,9.5,0
5,9.75,0
5,10,0
5,10.25,0
5,10.5,0
5,10.75,0
5,11,0
5,11.25,0
5,11.5,0
5,11.75,0
5,12,0
5,12.25,0
5,12.5,0
5,12.75,0
5,0.25,0
5,0.5,0
5,0.75,0
5,1,0
5,1.25,0
5,1.5,0
5,1.75,0
6,2,0
6,2.25,0
6,2.5,0
6,2.75,0
6,3,0
6,3.25,0
6,3.5,0
6,3.75,0
6,4,0
6,4.25,0
6,4.5,0
6,4.75,0
6,5,0
6,5.25,0
6,5.5,0
6,5.75,0
6,6,0
6,6.25,0
6,6.5,0
6,6.75,0
6,7,0
6,7.25,0
6,7.5,0
6,7.75,0
6,8,0
6,8.25,0
6,8.5,0
6,8.75,0
6,9,0
6,9.25,0
6,9.5,0
6,9.75,0
6,10,0
6,10.25,0
6,10.5,0
6,10.75,0
6,11,0
6,11.25,0
6,11.5,0
6,11.75,0
6,12,0
6,12.25,0
6,12.5,0
6,12.75,0
6,0.25,0
6,0.5,0
6,0.75,0
6,1,0
6,1.25,0
6,1.5,0
6,1.75,0
7,2,0
7,2.25,0
7,2.5,0
7,2.75,0
7,3,0
7,3.25,0
7,3.5,0
7,3.75,0
7,4,0
7,4.25,0
7,4.5,0
7,4.75,0
7,5,0
7,5.25,0
7,5.5,0
7,5.75,0
7,6,0
7,6.25,0
7,6.5,0
7,6.75,0
7,7,0
7,7.25,0
7,7.5,0
7,7.75,0
7,8,0
7,8.25,0
7,8.5,0
7,8.75,0
7,9,0
7,9.25,0
7,9.5,0
7,9.75,0
7,10,0
7,10.25,0
7,10.5,0
7,10.75,0
7,11,0
7,11.25,0
7,11.5,0
7,11.75,0
7,12,0
7,12.25,0
7,12.5,0
7,12.75,0
7,0.25,0
7,0.5,0
7,0.75,0
7,1,0
7,1.25,0
7,1.5,0
7,1.75,0
8,2,0
8,2.25,0
8,2.5,0
8,2.75,0
8,3,0
8,3.25,0
8,3.5,0
8,3.75,0
8,4,0
8,4.25,0
8,4.5,0
8,4.75,0
8,5,0
8,5.25,0
8,5.5,0
8,5.75,0
8,6,0
8,6.25,0
8,6.5,0
8,6.75,0
8,7,0
8,7.25,0
8,7.5,0
8,7.75,0
8,8,0
8,8.25,0
8,8.5,0
8,8.75,0
8,9,0
8,9.25,0
8,9.5,0
8,9.75,0
8,10,0
8,10.25,0
8,10.5,0
8,10.75,0
8,11,0
8,11.25,0
8,11.5,0
8,11.75,0
8,12,0
8,12.25,0
8,12.5,0
8,12.75,0
8,0.25,0
8,0.5,0
8,0.75,0
8,1,0
8,1.25,0
8,1.5,0
8,1.75,0
