set,z,num
1,0.25,281.0
2,0.25,272
3,0.25,272
1,0.5,294.0
2,0.5,268
3,0.5,268
1,0.75,296.0
2,0.75,277
3,0.75,277
1,1.0,280.0
2,1.0,285
3,1.0,285
1,1.25,261.0
2,1.25,276
3,1.25,276
1,1.5,276.0
2,1.5,267
3,1.5,267
1,1.75,259.0
2,1.75,253
3,1.75,253
1,2.0,251.0
2,2.0,249
3,2.0,249
1,2.25,233.0
2,2.25,247
3,2.25,247
1,2.5,198.0
2,2.5,232
3,2.5,232
1,2.75,223.0
2,2.75,231
3,2.75,231
1,3.0,186.0
2,3.0,198
3,3.0,198
1,3.25,127.0
2,3.25,158
3,3.25,158
1,3.5,122.0
2,3.5,174
3,3.5,174
1,3.75,124.0
2,3.75,166
3,3.75,166
1,4.0,104.0
2,4.0,168
3,4.0,168
1,4.25,103.0
2,4.25,137
3,4.25,137
1,4.5,58.0
2,4.5,113
3,4.5,113
1,4.75,43.0
2,4.75,100
3,4.75,100
1,5.0,27.0
2,5.0,84
3,5.0,84
1,5.25,25.0
2,5.25,93
3,5.25,93
1,5.5,27.0
2,5.5,90
3,5.5,90
1,5.75,12.0
2,5.75,79
3,5.75,79
1,6.0,13.0
2,6.0,60
3,6.0,60
1,6.25,17.0
2,6.25,62
3,6.25,62
1,6.5,11.0
2,6.5,58
3,6.5,58
1,6.75,13.0
2,6.75,55
3,6.75,55
1,7.0,15.0
2,7.0,55
3,7.0,55
1,7.25,9.0
2,7.25,38
3,7.25,38
1,7.5,5.0
2,7.5,41
3,7.5,41
1,7.75,3.0
2,7.75,36
3,7.75,36
1,8.0,2.0
2,8.0,28
3,8.0,28
1,8.25,0.0
2,8.25,21
3,8.25,21
1,8.5,0.0
2,8.5,21
3,8.5,21
1,8.75,1.0
2,8.75,19
3,8.75,19
1,9.0,5.0
2,9.0,24
3,9.0,24
1,9.25,2.0
2,9.25,16
3,9.25,16
1,9.5,4.0
2,9.5,11
3,9.5,11
1,9.75,2.0
2,9.75,13
3,9.75,13
1,10.0,4.0
2,10.0,14
3,10.0,14
1,10.25,1.0
2,10.25,5
3,10.25,5
1,10.5,0.0
2,10.5,8
3,10.5,8
1,10.75,1.0
2,10.75,2
3,10.75,2
1,11.0,1.0
2,11.0,3
3,11.0,3
1,11.25,1.0
2,11.25,5
3,11.25,5
1,11.5,3.0
2,11.5,2
3,11.5,2
1,11.75,1.0
2,11.75,0
3,11.75,0
1,12.0,0.0
2,12.0,3
3,12.0,3
1,12.25,2.0
2,12.25,2
3,12.25,2
1,12.5,6.0
2,12.5,4
3,12.5,4
