set,z,conc
1,0.25,1073.5716749242501
2,0.25,0.0
1,0.5,1098.9779216394966
2,0.5,0.0
1,0.75,1115.848997889621
2,0.75,0.0
1,1.0,1164.967741539097
2,1.0,0.0
1,1.25,1072.9738808838915
2,1.25,0.0
1,1.5,1062.1471665973945
2,1.5,0.0
1,1.75,1034.0176359205138
2,1.75,0.0
1,2.0,978.0906823669521
2,2.0,0.0
1,2.25,951.4556367909685
2,2.25,0.0
1,2.5,913.6617691282884
2,2.5,0.0
1,2.75,907.8166718447807
2,2.75,0.0
1,3.0,801.5753865610253
2,3.0,0.0
1,3.25,643.6249167862393
2,3.25,0.0
1,3.5,706.4929233639664
2,3.5,0.0
1,3.75,674.2452559646146
2,3.75,0.0
1,4.0,654.1859448325769
2,4.0,0.0
1,4.25,546.2841205478251
2,4.25,0.0
1,4.5,486.0397655916724
2,4.5,0.0
1,4.75,420.016734912052
2,4.75,0.0
1,5.0,361.4661297369158
2,5.0,0.0
1,5.25,388.1675968729393
2,5.25,0.0
1,5.5,352.5988514715945
2,5.5,0.5313724803188766
1,5.75,296.67189791803276
2,5.75,2.1254899212755065
1,6.0,248.28379142899507
2,6.0,0.0
1,6.25,250.27643823019088
2,6.25,0.0
1,6.5,216.23538870976284
2,6.5,0.0
1,6.75,245.75977214748042
2,6.75,0.0
1,7.0,217.66345225061983
2,7.0,0.0
1,7.25,159.74385189586226
2,7.25,0.0
1,7.5,158.58147459516474
2,7.5,0.0
1,7.75,137.2601538223698
2,7.75,0.0
1,8.0,114.74324496885741
2,8.0,0.0
1,8.25,85.61739089137899
2,8.25,0.0
1,8.5,89.00489045341183
2,8.5,0.0
1,8.75,80.6025631083696
2,8.75,0.0
1,9.0,85.98270947159821
2,9.0,0.0
1,9.25,59.447296235674315
2,9.25,0.0
1,9.5,46.19619500772233
2,9.5,0.0
1,9.75,59.28124233557467
2,9.75,0.0
1,10.0,58.88271297533551
2,10.0,0.0
1,10.25,23.71249693422987
2,10.25,0.0
1,10.5,25.439457495266215
2,10.5,0.0
1,10.75,11.391297546835917
2,10.75,0.0
1,11.0,10.594238826357602
2,11.0,0.0
1,11.25,18.7308799312404
2,11.25,0.0
1,11.5,7.505636284504131
2,11.5,0.0
1,11.75,1.0295341806178233
2,11.75,0.0
1,12.0,8.203062664922657
2,12.0,0.0
1,12.25,11.291665206776127
2,12.25,0.0
1,12.5,17.967031990782015
2,12.5,0.0
