set,int,length
3,0,189.0
3,0,51.300000000000004
3,0,658.8000000000001
3,0,637.2
3,0,288.9
3,0,32.4
3,0,99.9
3,0,1071.9
3,0,561.6
3,0,791.1
3,0,94.5
3,0,672.3
3,0,102.60000000000001
3,0,35.1
3,0,307.8
3,0,356.4
3,0,48.6
3,0,380.70000000000005
3,0,113.4
3,0,172.8
3,0,118.8
3,0,232.20000000000002
3,0,91.80000000000001
3,0,677.7
3,0,337.5
3,0,291.6
3,0,348.3
3,0,143.1
3,0,175.50000000000003
3,0,334.80000000000007
3,0,40.5
3,0,37.8
3,0,54.00000000000001
3,0,793.8000000000001
3,0,110.7
3,0,270.0
3,0,72.9
3,0,35.1
3,0,375.3
3,0,248.4
3,0,207.9
3,0,523.8000000000001
3,0,159.3
3,0,234.90000000000003
3,0,197.1
3,0,345.6
3,0,259.2
3,0,202.5
3,0,348.3
3,0,116.10000000000001
3,0,280.8
3,0,170.1
3,0,102.60000000000001
3,0,232.20000000000002
3,0,264.6
3,0,321.3
3,0,132.3
3,0,70.2
3,0,78.30000000000001
3,0,429.3
3,0,78.30000000000001
3,0,226.8
3,0,51.300000000000004
3,0,156.60000000000002
3,0,164.70000000000002
3,0,151.2
3,0,683.1
3,0,202.5
3,0,334.80000000000007
3,0,126.9
3,0,113.4
3,0,191.70000000000002
3,0,32.4
3,0,315.90000000000003
3,0,267.3
3,0,229.5
3,0,75.6
3,0,243.00000000000003
3,0,2.7
3,0,577.8
3,0,313.20000000000005
3,0,656.1
3,0,8.1
3,0,264.6
3,0,97.2
3,0,523.8000000000001
4,0,105.30000000000001
3,0,202.5
3,0,283.50000000000006
3,0,483.3
3,0,378.0
3,0,545.4
3,0,526.5000000000001
3,0,78.30000000000001
3,0,299.70000000000005
3,0,402.30000000000007
3,0,37.8
3,0,580.5
3,0,56.7
3,0,324.0
3,0,216.00000000000003
3,0,140.4
3,0,56.7
3,0,861.3000000000001
3,0,394.2
3,0,332.1
3,0,251.1
3,0,569.6999999999999
3,0,480.6
3,0,124.2
3,0,29.7
3,0,307.8
3,0,504.90000000000003
3,0,342.90000000000003
3,0,178.2
3,0,197.1
3,0,210.60000000000002
3,0,353.7
3,0,642.6
3,0,1063.8000000000002
3,0,59.4
3,0,386.1
3,0,297.00000000000006
3,0,334.80000000000007
3,0,205.20000000000002
3,0,35.1
3,0,302.4
3,0,16.2
3,0,237.6
3,0,585.9
3,0,693.9000000000001
3,0,132.3
3,0,105.30000000000001
3,0,426.6
3,0,791.1
3,0,164.70000000000002
3,0,399.6
3,0,1220.4
4,0,232.20000000000002
3,0,440.1
3,0,351.00000000000006
3,0,307.8
3,0,351.00000000000006
3,0,321.3
3,0,388.8
3,0,29.7
3,0,720.9
3,0,545.4
3,0,359.1
3,0,326.7
3,0,666.9000000000001
3,0,94.5
3,0,21.6
3,0,432.00000000000006
3,0,140.4
3,0,434.70000000000005
3,0,243.00000000000003
3,0,245.7
3,0,450.90000000000003
3,0,507.6
3,0,275.40000000000003
3,0,353.7
3,0,564.3000000000001
3,0,810.0
3,0,618.3000000000001
3,0,945.0000000000001
3,0,418.50000000000006
3,0,151.2
3,0,334.80000000000007
3,0,353.7
3,0,1026.0
3,0,315.90000000000003
3,0,121.50000000000001
3,0,70.2
3,0,461.7
3,0,542.7
4,0,143.1
3,0,313.20000000000005
3,0,302.4
3,0,326.7
3,0,113.4
3,0,423.9
3,0,348.3
3,0,267.3
3,0,305.1
3,0,696.6
3,0,270.0
3,0,213.3
3,0,294.3
3,0,83.70000000000002
3,0,151.2
3,0,248.4
3,0,86.4
3,0,48.6
3,0,548.1
3,0,469.80000000000007
3,0,151.2
3,0,996.3000000000001
3,0,793.8000000000001
3,0,364.50000000000006
3,0,394.2
3,0,37.8
3,0,253.8
3,0,340.2
4,0,32.4
3,0,72.9
3,0,677.7
3,0,102.60000000000001
3,0,661.5000000000001
3,0,178.2
3,0,669.6000000000001
3,0,747.9
3,0,40.5
3,0,442.8
3,0,159.3
3,0,351.00000000000006
3,0,40.5
3,0,464.40000000000003
3,0,920.7
4,0,224.10000000000002
3,0,837.0000000000001
3,0,124.2
3,0,151.2
3,0,356.4
3,0,334.80000000000007
3,0,621.0
3,0,823.5
4,0,110.7
3,0,156.60000000000002
3,0,283.50000000000006
3,0,24.3
3,0,423.9
3,0,143.1
3,0,502.2
4,0,318.6
3,0,64.8
3,0,486.00000000000006
3,0,612.9
3,0,13.500000000000002
3,0,359.1
3,0,345.6
3,0,21.6
3,0,788.4
3,0,634.5000000000001
3,0,477.90000000000003
3,0,18.9
3,0,83.70000000000002
3,0,445.5
3,0,143.1
3,0,118.8
3,0,329.40000000000003
3,0,351.00000000000006
3,0,977.4000000000001
3,0,186.3
3,0,542.7
3,0,472.50000000000006
3,0,264.6
3,0,137.70000000000002
3,0,180.9
3,0,108.00000000000001
3,0,477.90000000000003
3,0,440.1
4,0,13.500000000000002
3,0,634.5000000000001
3,0,758.7
3,0,243.00000000000003
3,0,132.3
3,0,313.20000000000005
3,0,718.2
4,0,167.40000000000003
3,0,418.50000000000006
3,0,110.7
3,0,62.1
3,0,129.6
3,0,448.20000000000005
3,0,364.50000000000006
3,0,780.3
4,0,18.9
3,0,739.8000000000001
3,0,64.8
3,0,383.40000000000003
3,0,64.8
4,0,207.9
3,0,48.6
3,0,13.500000000000002
4,0,340.2
3,0,32.4
3,0,477.90000000000003
3,0,248.4
4,0,448.20000000000005
3,0,86.4
3,0,234.90000000000003
3,0,89.1
3,0,604.8
3,0,510.29999999999995
3,0,229.5
3,0,240.3
3,0,270.0
3,0,480.6
3,0,353.7
3,0,472.50000000000006
3,0,294.3
3,0,299.70000000000005
3,0,62.1
3,0,280.8
3,0,148.50000000000003
3,0,710.1
3,0,456.3
3,0,672.3
3,0,529.2
3,0,229.5
3,0,226.8
3,0,577.8
3,0,483.3
3,0,202.5
3,0,423.9
4,0,105.30000000000001
3,0,324.0
3,0,81.0
3,0,113.4
3,0,340.2
3,0,518.4
3,0,240.3
3,0,40.5
3,0,410.40000000000003
3,0,599.4000000000001
3,0,286.2
3,0,113.4
3,0,407.7
3,0,170.1
4,0,54.00000000000001
3,0,399.6
3,0,337.5
3,0,648.0
3,0,326.7
3,0,572.4
3,0,388.8
3,0,429.3
3,0,270.0
3,0,783.0
4,0,229.5
3,0,29.7
3,0,226.8
3,0,405.0
3,0,745.2
3,0,91.80000000000001
3,0,421.20000000000005
3,0,183.60000000000002
3,0,232.20000000000002
3,0,178.2
3,0,272.7
3,0,102.60000000000001
3,0,89.1
3,0,237.6
3,0,369.90000000000003
3,0,232.20000000000002
3,0,402.30000000000007
4,0,383.40000000000003
3,0,78.30000000000001
3,0,534.6
4,0,167.40000000000003
3,0,81.0
3,0,145.8
3,0,51.300000000000004
3,0,496.8
3,0,1703.7
3,0,56.7
3,0,839.7
4,0,64.8
3,0,243.00000000000003
3,0,199.8
3,0,62.1
3,0,361.8
3,0,180.9
3,0,191.70000000000002
3,0,67.5
3,0,326.7
3,0,537.3
3,0,291.6
3,0,102.60000000000001
3,0,132.3
3,0,113.4
3,0,32.4
3,0,434.70000000000005
3,0,224.10000000000002
3,0,583.2
3,0,602.1000000000001
3,0,275.40000000000003
4,0,164.70000000000002
3,0,102.60000000000001
4,0,1004.4
3,0,162.0
3,0,413.1
4,0,545.4
3,0,540.0
4,0,826.2
3,0,218.70000000000002
3,0,108.00000000000001
3,0,194.4
3,0,612.9
4,0,56.7
3,0,399.6
4,0,180.9
3,0,521.1
4,0,248.4
3,0,396.90000000000003
4,0,175.50000000000003
3,0,248.4
3,0,513.0
4,0,105.30000000000001
3,0,224.10000000000002
3,0,283.50000000000006
3,0,399.6
3,0,245.7
3,0,99.9
4,0,164.70000000000002
