dataset,x,y
1,0.25,131.4
1,0.5,146.4
1,0.75,142.6
1,1,137
1,1.25,141
1,1.5,136.8
1,1.75,140.2
1,2,141.6
1,2.25,130.2
1,2.5,130.6
1,2.75,121.8
1,3,124
1,3.25,111.2
1,3.5,122
1,3.75,108.4
1,4,106.6
1,4.25,101
1,4.5,109
1,4.75,98
1,5,88.4
1,5.25,94.4
1,5.5,96.4
1,5.75,98.4
1,6,90.8
1,6.25,83
1,6.5,78.4
1,6.75,76.4
1,7,60.8
1,7.25,49.4
1,7.5,52.8
1,7.75,44
1,8,48.6
1,8.25,53
1,8.5,47.2
1,8.75,51
1,9,58.4
1,9.25,46
1,9.5,50
1,9.75,44
1,10,28.2
1,10.25,12
1,10.5,11
1,10.75,7.6
1,11,7
1,11.25,4
1,11.5,6.6
1,11.75,4.6
1,12,4.4
1,12.25,2.2
2,0.25,266.6
2,0.5,149.8
2,0.75,139.4
2,1,145.8
2,1.25,141.4
2,1.5,147.8
2,1.75,144
2,2,147.4
2,2.25,140
2,2.5,135.8
2,2.75,132.4
2,3,136.2
2,3.25,130.8
2,3.5,133.6
2,3.75,116.8
2,4,123.2
2,4.25,123
2,4.5,125.8
2,4.75,110.6
2,5,114
2,5.25,109.8
2,5.5,117.4
2,5.75,101.6
2,6,101.4
2,6.25,95
2,6.5,100.2
2,6.75,89.4
2,7,72
2,7.25,69.2
2,7.5,70.8
2,7.75,65.2
2,8,64.6
2,8.25,66.4
2,8.5,69.8
2,8.75,66.2
2,9,74.2
2,9.25,60.2
2,9.5,61
2,9.75,56.2
2,10,30.2
2,10.25,15.2
2,10.5,12.6
2,10.75,9
2,11,6.8
2,11.25,7.8
2,11.5,7.6
2,11.75,7.4
2,12,4.4
2,12.25,2.2
