set,z,conc
1,0.25,521.309614
1,0.5,554.1218646
1,0.75,534.6204946
1,1,524.7834616
1,1.25,531.5783871
1,1.5,547.0014734
1,1.75,497.4310631
1,2,511.731625
1,2.25,502.2532684
1,2.5,501.5491998
1,2.75,481.1777074
1,3,475.3990317
1,3.25,457.1331027
1,3.5,469.5672187
1,3.75,441.6369527
1,4,416.5628138
1,4.25,425.8751165
1,4.5,424.5267589
1,4.75,391.5484543
1,5,377.5800002
1,5.25,378.7689461
1,5.5,382.3092153
1,5.75,359.1679437
1,6,357.2417185
1,6.25,316.3924591
1,6.5,327.0066244
1,6.75,304.3369459
1,7,256.7060452
1,7.25,223.9270054
1,7.5,219.4103393
1,7.75,216.3881583
1,8,219.0118099
1,8.25,227.4739167
1,8.5,219.0848736
1,8.75,211.1408551
1,9,223.3026427
1,9.25,203.5820815
1,9.5,199.94218
1,9.75,185.5353437
1,10,110.6383926
1,10.25,53.83467441
1,10.5,49.35121911
1,10.75,28.74060903
1,11,24.36342822
1,11.25,24.81509483
1,11.5,26.48891814
1,11.75,23.67928616
1,12,20.06595329
1,12.25,8.335905785
