Time,Speckle_ID,dist_from_PE,Init_spec_time,Fil_ID,init_x,init_y,init_z,fin_x,fin_y,fin_z,type,origin
230,4279,14,140.4,4389,1.1918929,0.026035958,0.001442383,1.1918929,0.026035958,4.482142383,2,0
230,4297,28,141.1,4389,1.185003761,0.032335563,0.003513232,1.185003761,0.032335563,4.445513232,2,0
230,6049,11,194.2,6093,2.457099903,0.144987681,0.004702865,2.457099903,0.144987681,1.794102865,2,0
230.2,1455,0,50.7,1351,0.828366917,0.130438864,0.015772857,0.828366917,0.130438864,8.992772857,0,0
230.2,2143,11,72.4,6147,-0.056206523,0.119819141,0.004631578,-0.056206523,0.119819141,7.898831578,2,0
230.3,5273,0,171.1,5437,2.153702195,0.166021927,0.00866267,2.153702195,0.166021927,2.96886267,0,0
230.5,6090,0,195.5,6119,4.185962194,0.135508118,0.007458761,4.185962194,0.135508118,1.757758761,0,0
230.5,2845,0,94,2801,-0.43697009,0.077041954,0.005925743,-0.43697009,0.077041954,6.832825743,0,0
230.6,5904,8,189.9,5681,3.690423896,0.00928373,0.005405331,3.690423896,0.00928373,2.038705331,2,0
230.7,4663,0,152.6,4821,1.300516456,0.155837528,0.022050806,1.300516456,0.155837528,3.924150806,0,0
230.7,3016,0,99.8,2638,1.084657811,0.100222896,0.006284486,1.084657811,0.100222896,6.548984486,0,0
230.7,1488,0,51.8,1373,0.562418879,0.156579583,0.008593136,0.562418879,0.156579583,8.953893136,0,0
230.7,3696,0,121.3,3596,1.481141707,0.153190099,0.005599908,1.481141707,0.153190099,5.473799908,0,0
230.8,1437,5,50,4354,0.242367033,0.058502103,0.003896763,0.242367033,0.058502103,9.043696763,2,0
230.9,2801,0,92.7,2777,1.824471406,0.056965622,0.006750697,1.824471406,0.056965622,6.915950697,0,0
230.9,3914,24,128.9,4026,2.757312553,0.08490018,0.004767303,2.757312553,0.08490018,5.103167303,2,0
231,3691,0,121.2,4113,1.602009491,0.110330558,0.015064477,1.602009491,0.110330558,5.506064477,0,0
231.2,4264,0,139.8,4301,1.770791219,0.156917604,0.004677395,1.770791219,0.156917604,4.578277395,0,0
231.4,1567,0,55.1,1678,0.847788322,0.124307772,0.010070394,0.847788322,0.124307772,8.821270394,0,0
231.4,4514,15,148.4,4662,2.435224099,0.126282184,0.008107114,2.435224099,0.126282184,4.156907114,2,0
231.4,2087,8,70.6,3914,-0.008871685,0.086524755,0.013947355,-0.008871685,0.086524755,8.055547355,2,0
231.5,2997,0,98.8,3055,1.950376988,0.094081945,8.98E-04,1.950376988,0.094081945,6.635197889,0,0
231.5,3296,5,109.2,3234,1.870491869,0.19458416,0.002773432,1.870491869,0.19458416,6.114673432,2,0
231.5,3392,0,112.2,3257,1.632551966,0.175531737,0.001716714,1.632551966,0.175531737,5.967416714,0,0
231.6,2806,0,92.8,2777,1.818918965,0.057433945,0.005699152,1.818918965,0.057433945,6.941699152,0,0
231.6,4961,0,161.5,5104,2.58676597,0.142339429,0.004178161,2.58676597,0.142339429,3.509478161,0,0
231.6,3399,0,112.5,3379,2.243096063,0.136216098,0.008890147,2.243096063,0.136216098,5.963990147,0,0
231.6,6304,0,201.9,6458,3.096800383,0.092181177,0.002523552,3.096800383,0.092181177,1.490323552,0,0
231.8,3855,0,126.7,3876,-0.263643462,0.096722411,0.005210034,-0.263643462,0.096722411,5.261810034,0,0
231.8,3443,0,113.8,3458,1.919725857,0.073459164,0.00717529,1.919725857,0.073459164,5.90877529,0,0
231.9,2126,0,71.9,2167,0.309407564,0.085118111,0.008521569,0.309407564,0.085118111,8.004921569,0,0
231.9,2893,0,95.5,2894,-0.033217421,0.181248414,0.046191217,-0.033217421,0.181248414,6.867691217,0,0
232,6683,26,213.4,6815,2.394153059,0.148016476,0.00294789,2.394153059,0.148016476,0.93384789,2,0
232,3020,0,100.1,2773,1.317909169,0.095158013,0.002181688,1.317909169,0.095158013,6.596381688,0,0
232.1,3707,0,121.7,3809,1.516495401,0.141637317,0.002367707,1.516495401,0.141637317,5.522567707,0,0
232.3,1603,0,56.3,1538,0.989088999,0.098709314,0.002640174,0.989088999,0.098709314,8.802940174,0,0
232.3,4497,0,148,4642,2.463916883,0.136792181,0.007367805,2.463916883,0.136792181,4.221767805,0,0
232.3,6738,0,215.2,6480,2.716652909,0.131875775,0.004942862,2.716652909,0.131875775,0.859842862,0,0
232.4,2161,0,73.2,2131,0.455188989,0.092571801,0.022878304,0.455188989,0.092571801,7.982178304,0,0
232.4,2826,0,93.4,2805,1.573427486,0.176948551,0.002405868,1.573427486,0.176948551,6.952205868,0,0
232.4,6396,0,204.5,6516,2.756250928,0.005757501,0.004002442,2.756250928,0.005757501,1.400102442,0,0
232.4,1498,0,52.1,1373,0.576564439,0.159538717,0.004257613,0.576564439,0.159538717,9.019057613,0,0
232.9,4505,0,148.2,4634,2.475400534,0.131837391,0.008694464,2.475400534,0.131837391,4.241794464,0,0
232.9,1468,0,51.2,1594,0.340598195,0.172577734,0.006848755,0.340598195,0.172577734,9.091648755,0,0
233,4431,0,145.6,4560,0.962192667,0.15092109,0.008029156,0.962192667,0.15092109,4.375829156,0,0
233.1,5331,0,173.6,5546,3.857886443,0.074658595,0.004644978,3.857886443,0.074658595,2.980044978,0,0
233.1,1609,0,56.4,1601,0.758799114,0.098417341,0.00400706,0.758799114,0.098417341,8.83880706,0,0
233.2,4549,14,149.6,4448,2.423829974,0.103970368,0.003182651,2.423829974,0.103970368,4.182082651,2,0
233.2,4661,0,152.6,4733,1.478470936,0.134384123,0.017248382,1.478470936,0.134384123,4.047648382,0,0
233.2,6264,0,200.7,6309,1.089172687,0.013933407,0.003815763,1.089172687,0.013933407,1.628115763,0,0
233.3,2149,0,72.6,2137,1.47847249,0.130248101,0.005155062,1.47847249,0.130248101,8.036555062,0,0
233.3,4598,0,150.7,5231,2.743303268,0.089031965,0.003524247,2.743303268,0.089031965,4.131524247,0,0
233.3,4522,21,148.7,4658,2.62118845,0.082935824,0.001759919,2.62118845,0.082935824,4.233859919,2,0
233.4,6761,8,216,6480,2.735037237,0.13132197,0.002553864,2.735037237,0.13132197,0.874953864,2,0
233.4,5312,0,172.8,5304,2.008938919,0.153745661,0.006534276,2.008938919,0.153745661,3.035634276,0,0
233.4,2905,3,95.8,2894,-0.059776476,0.181898519,0.05031402,-0.059776476,0.181898519,6.93051402,2,0
233.4,2918,21,96.3,2894,-0.103236747,0.182962327,0.052187697,-0.103236747,0.182962327,6.908787697,2,0
233.5,3084,33,102.2,2773,1.287749252,0.089158627,8.38E-04,1.287749252,0.089158627,6.562438485,2,0
233.5,4510,0,148.3,4634,2.482857206,0.132570702,0.005016271,2.482857206,0.132570702,4.267216271,0,0
233.6,4243,20,139.3,4292,0.310185932,0.104125293,0.05497559,0.310185932,0.104125293,4.76917559,2,0
233.6,4262,34,139.7,4292,0.274686195,0.099668717,0.062379379,0.274686195,0.099668717,4.756979379,2,0
233.7,4652,0,152.4,4539,1.601147142,0.089477297,0.010587427,1.601147142,0.089477297,4.076987427,0,0
233.7,4654,0,152.4,4539,1.60337897,0.089118352,0.01031091,1.60337897,0.089118352,4.07661091,0,0
233.8,3771,0,123.7,3857,2.46030159,0.100455403,0.003539492,2.46030159,0.100455403,5.505739492,0,0
233.8,4700,0,153.5,4802,1.367553855,0.181913467,0.004362895,1.367553855,0.181913467,4.021062895,0,0
233.9,2469,8,81.7,2529,0.641669223,0.114709991,0.004712904,0.641669223,0.114709991,7.611812904,2,0
233.9,1619,0,56.7,1538,1.003231749,0.097373456,0.004725,1.003231749,0.097373456,8.864125,0,0
233.9,2855,0,94.3,6212,1.408308607,0.122895319,0.004383258,1.408308607,0.122895319,6.987283258,0,0
234,3013,8,99.8,3055,1.928322224,0.088827366,0.006310254,1.928322224,0.088827366,6.716410254,2,0
234,4448,0,146.3,4594,1.173888249,0.066429998,0.005521338,1.173888249,0.066429998,4.388221338,0,0
234,5994,0,192.6,5969,2.693035575,0.061744936,0.003633919,2.693035575,0.061744936,2.070533919,0,0
234.1,5363,0,174.5,5296,3.692547402,0.023079885,0.00642702,3.692547402,0.023079885,2.98762702,0,0
234.1,3753,0,123.2,3717,1.920783787,0.032023792,0.008241173,1.920783787,0.032023792,5.554441173,0,0
234.1,5525,0,180.2,5728,2.126549455,0.184343763,0.009279382,2.126549455,0.184343763,2.708279382,0,0
234.2,2168,0,73.5,2270,0.165082885,0.108667624,0.01038859,0.165082885,0.108667624,8.04538859,0,0
234.2,1483,0,51.6,1351,0.878292621,0.137320386,0.027989546,0.878292621,0.137320386,9.155989546,0,0
234.3,4441,0,146,4395,2.660957035,0.107250327,0.001973451,2.660957035,0.107250327,4.414073451,0,0
234.4,4676,3,152.9,4752,1.427954099,0.129544512,0.010887068,1.427954099,0.129544512,4.085787068,2,0
