dataset,x,y
1,0.25,130.4
1,0.5,117.8
1,0.75,82.4
1,1,53.4
1,1.25,32
1,1.5,21
1,1.75,13
1,2,7
1,2.25,5.6
1,2.5,4.2
1,2.75,1
1,3,0.6
1,3.25,0.8
1,3.5,0.4
1,3.75,0.6
1,4,0
1,4.25,0.6
1,4.5,0.2
1,4.75,0.2
1,5,0
1,5.25,0.2
1,5.5,0
1,5.75,0.2
1,6,0.2
1,6.25,0
1,6.5,0
1,6.75,0
1,7,0
1,7.25,0
1,7.5,0
1,7.75,0
1,8,0
1,8.25,0
1,8.5,0
1,8.75,0
1,9,0
1,9.25,0
1,9.5,0
1,9.75,0
1,10,0.2
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0
2,0.25,256.6
2,0.5,146
2,0.75,137.2
2,1,111.6
2,1.25,88.8
2,1.5,63.6
2,1.75,47.6
2,2,37.2
2,2.25,33
2,2.5,27
2,2.75,27.4
2,3,22.6
2,3.25,18.2
2,3.5,16
2,3.75,15.8
2,4,18
2,4.25,14.8
2,4.5,12.6
2,4.75,12.4
2,5,12
2,5.25,10.4
2,5.5,12
2,5.75,8.4
2,6,8
2,6.25,7.8
2,6.5,6.8
2,6.75,6.8
2,7,5.6
2,7.25,5.8
2,7.5,5.6
2,7.75,6
2,8,3.6
2,8.25,4.6
2,8.5,4.2
2,8.75,3.8
2,9,3.2
2,9.25,5.4
2,9.5,3.6
2,9.75,3.6
2,10,2.8
2,10.25,1
2,10.5,1.6
2,10.75,1
2,11,1.6
2,11.25,1.2
2,11.5,0.2
