set,z,conc
1,0.25,467.5214347
1,0.5,502.9307683
1,0.75,494.1166273
1,1,473.5857231
1,1.25,458.5412397
1,1.5,429.5814396
1,1.75,383.1992642
1,2,348.2947344
1,2.25,335.2030449
1,2.5,319.7002528
1,2.75,303.7657205
1,3,297.9804026
1,3.25,290.8932222
1,3.5,260.2463144
1,3.75,245.9523947
1,4,240.5456797
1,4.25,230.4562447
1,4.5,210.6493355
1,4.75,203.7481354
1,5,194.6550238
1,5.25,185.1500986
1,5.5,173.6193158
1,5.75,162.6730427
1,6,146.7650791
1,6.25,138.5487321
1,6.5,132.796625
1,6.75,127.5692482
1,7,121.2724843
1,7.25,110.1070201
1,7.5,103.0131975
1,7.75,98.48988921
1,8,84.46165575
1,8.25,78.39736732
1,8.5,75.04307853
1,8.75,73.43567678
1,9,67.23854523
1,9.25,69.59651061
1,9.5,63.48572708
1,9.75,55.46864479
1,10,50.61322875
1,10.25,45.67810684
1,10.5,37.30899028
1,10.75,29.93619711
1,11,24.70882034
1,11.25,17.11019387
1,11.5,8.169851885
1,11.75,3.859092638
1,12,2.180841221
1,12.25,2.191911481
1,12.5,1.682679521
1,12.75,2.656862402
2,0.25,0
2,0.5,0
2,0.75,0
2,1,0
2,1.25,0
2,1.5,0
2,1.75,0
2,2,0.039852936
2,2.25,1.295220421
2,2.5,0.850195969
2,2.75,0
2,3,0
2,3.25,0.870122436
2,3.5,0.371960736
2,3.75,0
2,4,0
2,4.25,1.202230237
2,4.5,0.611078352
2,4.75,0
2,5,0
2,5.25,0
2,5.5,0
2,5.75,0
2,6,0
2,6.25,0
2,6.5,0
2,6.75,0
2,7,0
2,7.25,0
2,7.5,0.053137248
2,7.75,0
2,8,0
2,8.25,0
2,8.5,0
2,8.75,0
2,9,0
2,9.25,0.285612708
2,9.5,0.644289132
2,9.75,0.13284312
2,10,0
2,10.25,0
2,10.5,0.43174014
2,10.75,0.19926468
2,11,0
2,11.25,0
2,11.5,0
2,11.75,0
