set,int,length
3,0,1031.4
4,0,383.4
4,0,83.7
4,0,64.8
4,0,32.4
2,0,518.4
3,0,1026
4,0,996.3
4,0,1579.5
2,0,124.2
2,0,210.6
2,0,8.1
4,0,772.2
2,0,459
4,0,145.8
3,0,434.7
4,0,510.3
3,0,226.8
4,0,1096.2
2,0,1306.8
4,0,359.1
4,0,699.3
2,0,189
3,0,251.1
4,0,691.2
2,0,48.6
2,0,145.8
3,0,43.2
4,0,1350
2,0,696.6
4,0,297
3,0,683.1
4,0,1009.8
3,0,129.6
2,0,297
2,0,607.5
2,0,334.8
3,0,197.1
4,0,912.6
2,0,437.4
2,0,251.1
3,0,561.6
2,0,178.2
2,0,491.4
3,0,418.5
3,0,1096.2
2,0,850.5
2,0,318.6
2,0,418.5
2,0,434.7
2,0,650.7
4,0,494.1
2,0,21.6
3,0,961.2
2,0,361.8
2,0,167.4
4,0,342.9
2,0,342.9
3,0,1090.8
4,0,720.9
2,0,183.6
2,0,386.1
2,0,286.2
2,0,699.3
4,0,51.3
4,0,326.7
4,0,180.9
2,0,372.6
2,0,2.7
3,0,232.2
2,0,318.6
3,0,78.3
2,0,124.2
2,0,27
3,0,78.3
4,0,472.5
2,0,135
2,0,1182.6
4,0,218.7
2,0,869.4
2,0,712.8
2,0,207.9
2,0,675
2,0,27
2,0,78.3
2,1,364.5
4,1,72.9
3,1,183.6
2,2,162
2,3,162
2,4,91.8
2,5,54
4,5,72.9
2,5,475.2
2,6,62.1
3,6,434.7
2,7,129.6
2,8,297
2,9,388.8
2,10,280.8
2,11,167.4
2,11,340.2
2,11,567
2,12,116.1
2,13,270
2,13,56.7
3,13,351
4,13,596.7
2,14,577.8
2,14,828.9
2,15,885.6
2,16,329.4
2,16,205.2
2,16,37.8
2,17,699.3
2,17,966.6
4,17,45.9
2,18,243
4,18,153.9
3,18,29.7
4,18,1023.3
2,19,896.4
2,19,202.5
2,20,116.1
4,20,588.6
2,21,685.8
4,21,51.3
2,21,494.1
4,21,577.8
2,21,405
2,22,137.7
2,23,148.5
2,23,59.4
2,24,310.5
4,24,78.3
3,24,178.2
2,24,747.9
2,25,621
3,25,588.6
4,25,124.2
3,25,280.8
4,25,1093.5
2,25,278.1
2,26,351
3,26,105.3
4,26,882.9
4,26,631.8
2,27,70.2
2,27,1155.6
3,27,712.8
4,27,359.1
4,27,1044.9
2,28,483.3
2,29,340.2
2,30,124.2
2,31,475.2
2,31,29.7
2,32,351
2,33,72.9
2,34,159.3
2,35,588.6
2,36,804.6
2,37,264.6
2,37,102.6
2,38,207.9
3,38,2.7
2,39,191.7
2,39,51.3
2,39,72.9
2,40,272.7
2,41,148.5
2,42,213.3
2,43,278.1
2,44,113.4
2,45,577.8
2,46,1217.7
2,46,135
2,47,283.5
2,47,877.5
2,48,40.5
2,49,264.6
2,49,248.4
2,50,486
2,51,342.9
3,51,772.2
4,51,704.7
2,52,45.9
2,52,831.6
2,53,226.8
2,54,148.5
2,55,64.8
2,56,43.2
2,57,164.7
3,57,858.6
2,58,988.2
2,59,688.5
2,60,612.9
3,60,610.2
4,60,510.3
2,61,43.2
2,62,156.6
4,62,623.7
2,63,618.3
2,64,615.6
4,64,1028.7
3,64,399.6
2,65,91.8
2,66,472.5
2,67,191.7
2,68,693.9
3,68,280.8
2,69,102.6
3,69,353.7
4,69,1123.2
2,70,761.4
2,71,148.5
3,71,442.8
4,71,591.3
4,71,634.5
3,71,351
4,71,942.3
2,71,972
4,71,8.1
2,72,221.4
2,73,40.5
2,74,369.9
2,75,675
2,75,148.5
3,75,693.9
4,75,40.5
2,76,67.5
2,76,170.1
2,77,116.1
2,78,64.8
2,79,108
3,79,626.4
4,79,901.8
2,80,54
2,81,699.3
2,82,62.1
3,82,618.3
4,82,658.8
2,83,299.7
2,84,89.1
2,85,32.4
2,86,183.6
2,87,226.8
2,88,105.3
2,88,56.7
2,88,13.5
2,89,16.2
2,90,32.4
2,91,286.2
2,91,132.3
2,92,167.4
2,93,502.2
2,94,305.1
2,95,567
2,96,86.4
3,96,672.3
4,96,615.6
2,97,56.7
2,98,801.9
3,98,1039.5
4,98,59.4
2,98,237.6
2,99,78.3
2,100,48.6
3,100,191.7
4,100,788.4
3,100,186.3
4,100,1131.3
2,101,59.4
2,102,207.9
2,103,16.2
2,104,35.1
2,105,24.3
2,106,97.2
2,107,189
2,108,137.7
2,108,202.5
2,109,885.6
2,110,207.9
4,110,510.3
2,111,89.1
3,111,1050.3
4,111,758.7
4,111,1139.4
3,111,191.7
2,112,75.6
2,113,121.5
2,114,210.6
2,115,172.8
2,116,283.5
3,116,480.6
4,116,1539
2,117,575.1
2,118,772.2
2,118,572.4
3,118,1007.1
4,118,32.4
2,118,124.2
3,118,102.6
4,118,380.7
2,118,405
2,118,153.9
3,118,70.2
4,118,715.5
2,119,153.9
2,119,280.8
3,119,707.4
4,119,1447.2
2,119,162
2,120,135
2,121,143.1
2,122,399.6
2,123,542.7
4,123,332.1
4,123,70.2
2,124,234.9
3,124,372.6
4,124,939.6
2,125,261.9
3,125,313.2
4,125,59.4
2,126,191.7
2,127,442.8
2,128,67.5
2,129,288.9
2,129,599.4
2,129,218.7
2,130,380.7
3,130,183.6
2,131,16.2
2,131,156.6
3,131,504.9
2,132,213.3
3,132,1026
4,132,202.5
2,133,602.1
2,134,318.6
4,134,656.1
2,135,564.3
2,136,54
2,136,391.5
2,137,218.7
4,137,70.2
2,138,81
3,138,210.6
2,139,378
2,140,75.6
3,140,1026
2,141,18.9
2,142,680.4
4,142,564.3
2,142,2.7
2,143,510.3
2,144,140.4
2,145,48.6
2,146,151.2
2,146,153.9
2,147,110.7
4,147,210.6
2,148,245.7
3,148,48.6
4,148,918
2,149,129.6
2,150,191.7
4,150,189
3,150,893.7
4,150,132.3
4,150,502.2
2,151,680.4
2,152,353.7
4,152,515.7
2,153,418.5
2,154,580.5
2,155,553.5
2,156,221.4
2,157,180.9
2,158,167.4
