Time,Speckle_ID,dist_from_PE,Init_spec_time,Fil_ID,init_x,init_y,init_z,fin_x,fin_y,fin_z,type,origin
230,19942,3,223.7,25182,-0.288630604,0.069240278,0.006834653,-0.288630604,0.069240278,0.320434653,2,0
230,19968,9,223.9,25182,-0.277151834,0.068758744,0.006313359,-0.277151834,0.068758744,0.309013359,2,0
230,16645,60,194.1,25577,2.992257554,0.167925536,0.00581582,2.992257554,0.167925536,1.79911582,2,1
230,16736,77,194.9,25577,3.017588976,0.170257633,0.003909925,3.017588976,0.170257633,1.760909925,2,1
230,11618,105,149.1,25787,0.909252111,0.13416488,2.642480966,0.909252111,0.13416488,6.686780966,2,1
230,11619,79,149.1,25787,0.945157277,0.136104804,2.702772722,0.945157277,0.136104804,6.747072722,2,1
230,20253,0,226.4,26450,0.489493373,0.118346496,1.630072222,0.489493373,0.118346496,1.809572222,0,1
230,20419,1,228.2,26282,0.066105733,0.131689583,3.632608205,0.066105733,0.131689583,3.723608205,2,1
230,20352,147,227.5,26061,0.833249887,0.176120073,0.84588462,0.833249887,0.176120073,0.97428462,2,1
230,20353,64,227.5,26061,0.750425243,0.15492286,1.053035691,0.750425243,0.15492286,1.181435691,2,1
230.1,20370,83,227.7,23886,0.604710916,0.154905217,0.499407664,0.604710916,0.154905217,0.617207664,2,1
230.1,20231,0,226.2,25901,-0.343147556,0.119035647,1.752851894,-0.343147556,0.119035647,1.945251894,0,1
230.1,17004,20,197.4,25465,2.138098384,0.135482329,0.006502291,2.138098384,0.135482329,1.641002291,2,1
230.1,14405,42,173.9,26418,0.862805775,0.112276113,1.400685172,0.862805775,0.112276113,4.211085172,2,1
230.1,14753,118,176.9,26418,0.772808529,0.120873626,1.367274373,0.772808529,0.120873626,4.026874373,2,1
230.1,15031,13,179.6,24107,0.251589588,0.075745523,3.340903082,0.251589588,0.075745523,5.866403082,2,1
230.1,17100,80,198.4,24107,0.149510655,0.065003917,4.131942284,0.149510655,0.065003917,5.717442284,2,1
230.1,20263,0,226.5,24511,2.488343278,0.13427245,1.699883994,2.488343278,0.13427245,1.879683994,0,1
