set,z,conc
1,0.25,1083.5349089302292
2,0.25,0.0
1,0.5,1010.9361438066627
2,0.5,0.0
1,0.75,916.185788409803
2,0.75,0.0
1,1.0,904.7612800829471
2,1.0,0.0
1,1.25,918.6765969112978
2,1.25,0.0
1,1.5,988.9506074334691
2,1.5,0.0
1,1.75,888.720473333321
2,1.75,0.0
1,2.0,805.062518463118
2,2.0,0.0
1,2.25,726.1537051357648
2,2.25,0.0
1,2.5,678.5958681472254
2,2.5,0.0
1,2.75,638.4440351031302
2,2.75,0.0
1,3.0,634.4919522807586
2,3.0,0.0
1,3.25,563.9522555184277
2,3.25,0.0
1,3.5,543.7601012663104
2,3.5,0.0
1,3.75,534.4278720807101
2,3.75,0.0
1,4.0,478.0027568268494
2,4.0,0.0
1,4.25,457.37886243447304
2,4.25,0.0
1,4.5,419.28609775161357
2,4.5,0.0
1,4.75,381.5586516489733
2,4.75,0.0
1,5.0,394.71012053686553
2,5.0,0.0
1,5.25,383.0863475298901
2,5.25,0.0
1,5.5,338.45105918310446
2,5.5,0.0
1,5.75,309.65731290582534
2,5.75,0.0
1,6.0,275.88194962555673
2,6.0,0.0
1,6.25,305.24027916317465
2,6.25,0.0
1,6.5,322.31062009341855
2,6.5,0.0
1,6.75,296.20694699775373
2,6.75,0.0
1,7.0,296.5058440179331
2,7.0,0.0
1,7.25,257.28391281439605
2,7.25,0.0
1,7.5,212.01761964723175
2,7.5,0.0
1,7.75,185.05046627104878
2,7.75,0.0
1,8.0,192.5561025555529
2,8.0,0.0
1,8.25,225.16908853512396
2,8.25,0.0
1,8.5,204.64482648280733
2,8.5,0.0
1,8.75,151.04262753064066
2,8.75,0.0
1,9.0,144.56652542675437
2,9.0,0.0
1,9.25,164.39336109865243
2,9.25,0.0
1,9.5,156.72167091404867
2,9.5,0.0
1,9.75,140.28233480418342
2,9.75,0.0
1,10.0,131.48147809890202
2,10.0,0.0
1,10.25,142.17534926531943
2,10.25,0.8634802805181744
1,10.5,108.79851534528999
2,10.5,1.3284312007971915
1,10.75,95.2153063171387
2,10.75,0.0
1,11.0,82.96052848978461
2,11.0,0.0
1,11.25,55.163105613103376
2,11.25,0.0
1,11.5,19.428306311658925
2,11.5,0.0
1,11.75,7.70490096462371
2,11.75,0.0
1,12.0,1.5609066609367
2,12.0,0.0
1,12.25,0.6310048203786659
2,12.25,0.0
