set,int,length
3,0,1104.3
4,0,972.0000000000001
4,0,78.30000000000001
3,0,307.8
4,0,1260.9
2,0,858.6
4,0,753.3000000000001
4,0,153.9
4,0,391.5
4,0,97.2
4,0,221.4
4,0,18.9
3,0,567.0000000000001
4,0,356.4
4,0,531.9000000000001
4,0,253.8
3,0,291.6
3,0,704.7
4,0,1074.6
2,0,56.7
3,0,143.1
4,0,499.5
3,0,1258.2
4,0,313.20000000000005
2,0,661.5000000000001
4,0,108.00000000000001
2,0,413.1
2,0,78.30000000000001
2,0,29.7
2,0,170.1
3,0,253.8
4,0,137.70000000000002
2,0,40.5
2,0,283.50000000000006
2,0,97.2
2,0,788.4
2,0,396.90000000000003
4,0,62.1
2,0,313.20000000000005
2,0,1514.7
3,0,18.9
4,0,888.3000000000001
4,0,326.7
4,0,502.2
2,0,467.1
4,0,650.7
4,0,183.60000000000002
4,0,699.3000000000001
2,0,475.2
2,0,334.80000000000007
3,0,1339.2000000000003
4,0,882.9
2,0,70.2
2,0,197.1
3,0,1217.7
2,0,54.00000000000001
2,0,99.9
2,0,162.0
3,0,901.8000000000001
2,0,86.4
2,0,221.4
2,0,48.6
4,0,683.1
2,0,1285.2
4,0,67.5
4,0,864.0000000000001
3,0,1188.0000000000002
4,0,1128.6000000000001
2,0,140.4
4,0,40.5
2,0,148.50000000000003
4,0,153.9
2,0,486.00000000000006
2,0,796.5000000000001
3,0,739.8000000000001
4,0,637.2
2,0,159.3
3,0,885.6
2,0,656.1
3,0,1015.2
4,0,1279.8
3,0,675.0
4,0,1185.3
2,0,56.7
4,0,1017.9
3,0,918.0
4,0,882.9
4,0,888.3000000000001
4,0,70.2
2,0,210.60000000000002
2,0,210.60000000000002
2,0,178.2
3,0,291.6
4,0,267.3
2,0,94.5
3,0,48.6
4,0,704.7
2,0,45.900000000000006
2,0,132.3
3,0,426.6
4,0,1042.2
3,0,974.7
2,0,121.50000000000001
2,0,153.9
2,0,143.1
2,0,248.4
2,0,140.4
2,0,569.6999999999999
2,0,947.7
2,0,240.3
4,0,529.2
2,0,167.40000000000003
2,0,275.40000000000003
2,0,162.0
2,0,467.1
2,0,405.0
2,0,56.7
2,0,918.0
2,0,558.9000000000001
2,0,831.6
2,0,116.10000000000001
2,0,680.4
2,0,21.6
2,0,510.29999999999995
2,0,175.50000000000003
2,0,823.5
2,0,302.4
2,0,515.7
2,0,326.7
3,0,977.4000000000001
4,0,251.1
3,0,159.3
