set,z,num
1,0.25,152.0
2,0.25,131
3,0.25,131
1,0.5,109.0
2,0.5,114
3,0.5,114
1,0.75,131.0
2,0.75,130
3,0.75,130
1,1.0,123.0
2,1.0,116
3,1.0,116
1,1.25,87.0
2,1.25,110
3,1.25,110
1,1.5,50.0
2,1.5,104
3,1.5,104
1,1.75,41.0
2,1.75,91
3,1.75,91
1,2.0,46.0
2,2.0,121
3,2.0,121
1,2.25,26.0
2,2.25,90
3,2.25,90
1,2.5,25.0
2,2.5,97
3,2.5,97
1,2.75,26.0
2,2.75,80
3,2.75,80
1,3.0,8.0
2,3.0,69
3,3.0,69
1,3.25,7.0
2,3.25,68
3,3.25,68
1,3.5,0.0
2,3.5,72
3,3.5,72
1,3.75,13.0
2,3.75,64
3,3.75,64
1,4.0,2.0
2,4.0,57
3,4.0,57
1,4.25,4.0
2,4.25,61
3,4.25,61
1,4.5,0.0
2,4.5,54
3,4.5,54
1,4.75,2.0
2,4.75,44
3,4.75,44
1,5.0,0.0
2,5.0,42
3,5.0,42
1,5.25,1.0
2,5.25,40
3,5.25,40
1,5.5,1.0
2,5.5,41
3,5.5,41
1,5.75,1.0
2,5.75,37
3,5.75,37
1,6.0,0.0
2,6.0,43
3,6.0,43
1,6.25,1.0
2,6.25,33
3,6.25,33
1,6.5,0.0
2,6.5,34
3,6.5,34
1,6.75,0.0
2,6.75,28
3,6.75,28
1,7.0,0.0
2,7.0,26
3,7.0,26
1,7.25,0.0
2,7.25,23
3,7.25,23
1,7.5,0.0
2,7.5,25
3,7.5,25
1,7.75,0.0
2,7.75,22
3,7.75,22
1,8.0,0.0
2,8.0,18
3,8.0,18
1,8.25,2.0
2,8.25,16
3,8.25,16
1,8.5,1.0
2,8.5,21
3,8.5,21
1,8.75,0.0
2,8.75,20
3,8.75,20
1,9.0,0.0
2,9.0,19
3,9.0,19
1,9.25,0.0
2,9.25,14
3,9.25,14
1,9.5,0.0
2,9.5,12
3,9.5,12
1,9.75,0.0
2,9.75,12
3,9.75,12
1,10.0,0.0
2,10.0,11
3,10.0,11
1,10.25,0.0
2,10.25,12
3,10.25,12
1,10.5,0.0
2,10.5,10
3,10.5,10
1,10.75,0.0
2,10.75,13
3,10.75,13
1,11.0,1.0
2,11.0,12
3,11.0,12
1,11.25,1.0
2,11.25,10
3,11.25,10
1,11.5,1.0
2,11.5,3
3,11.5,3
1,11.75,1.0
2,11.75,0
3,11.75,0
1,12.0,0.0
2,12.0,0
3,12.0,0
1,12.25,0.0
2,12.25,0
3,12.25,0
1,12.5,1.0
2,12.5,1
3,12.5,1
