set,z,conc
1,0.25,503.27616042201595
2,0.25,0.0
1,0.5,523.4351038941134
2,0.5,0.0
1,0.75,538.9777489434405
2,0.75,0.0
1,1.0,495.03988697707337
2,1.0,0.0
1,1.25,446.7846236081154
2,1.25,0.0
1,1.5,406.3671043238609
2,1.5,0.0
1,1.75,394.1455372765267
2,1.75,0.0
1,2.0,488.6966279932668
2,2.0,0.0
1,2.25,374.8500740849475
2,2.25,0.0
1,2.5,374.35191238464853
2,2.5,0.0
1,2.75,309.25878354558614
2,2.75,0.0
1,3.0,267.3799899404547
2,3.0,0.0
1,3.25,262.96295619780403
2,3.25,0.0
1,3.5,278.107071886892
2,3.5,0.0
1,3.75,245.49408590732097
2,3.75,0.0
1,4.0,233.30572964000675
2,4.0,0.0
1,4.25,266.18440185973725
2,4.25,0.0
1,4.5,233.57141588016617
2,4.5,0.0
1,4.75,186.37889747184596
2,4.75,0.0
1,5.0,174.98759992501004
2,5.0,0.0
1,5.25,162.1350280572972
2,5.25,0.0
1,5.5,161.2383369967591
2,5.5,0.0
1,5.75,154.197651632534
2,5.75,0.0
1,6.0,158.98000395540387
2,6.0,0.0
1,6.25,138.123634102888
2,6.25,0.0
1,6.5,133.70660036023733
2,6.5,0.0
1,6.75,122.34851359342133
2,6.75,0.0
1,7.0,98.46996275909181
2,7.0,0.0
1,7.25,96.24484049775651
2,7.25,0.0
1,7.5,111.92032866716337
2,7.5,0.0
1,7.75,90.93111569456775
2,7.75,0.0
1,8.0,79.44018580767205
2,8.0,0.0
1,8.25,76.55084794593816
2,8.25,0.0
1,8.5,91.06395881464748
2,8.5,0.0
1,8.75,91.23001271474712
2,8.75,0.0
1,9.0,92.49202235550446
2,9.0,0.0
1,9.25,69.97511350199206
2,9.25,1.693749781016419
1,9.5,51.742395271050604
2,9.5,1.095955740657683
1,9.75,49.55048378973524
2,9.75,0.0
1,10.0,46.926832168160786
2,10.0,0.0
1,10.25,51.842027611110396
2,10.25,0.0
1,10.5,44.43602366666605
2,10.5,0.0
1,10.75,52.4066108714492
2,10.75,0.0
1,11.0,46.926832168160786
2,11.0,0.0
1,11.25,33.243990799949714
2,11.25,0.0
1,11.5,12.28798860737402
2,11.5,0.0
1,11.75,1.8930144611359978
2,11.75,0.0
1,12.0,0.0
2,12.0,0.0
1,12.25,0.0
2,12.25,0.0
1,12.5,0.5645832603388063
2,12.5,0.0
