set,int,length
3,0,1026.0
4,0,675.0
3,0,831.6
3,0,372.6
4,0,162.0
3,0,710.1
4,0,140.4
3,0,820.8000000000001
4,0,456.3
4,0,253.8
3,0,1074.6
3,0,56.7
4,0,1036.8
4,0,437.40000000000003
4,0,153.9
4,0,364.50000000000006
4,0,572.4
4,0,702.0000000000001
4,0,461.7
3,0,885.6
4,0,480.6
4,0,623.7
4,0,747.9
3,0,718.2
3,0,1090.8
4,0,434.70000000000005
4,0,86.4
4,0,275.40000000000003
4,0,251.1
4,0,510.29999999999995
4,0,299.70000000000005
3,0,8.1
4,0,410.40000000000003
4,0,367.20000000000005
3,0,1080.0
4,0,407.7
4,0,413.1
4,0,21.6
4,0,29.7
4,0,202.5
4,0,334.80000000000007
4,0,205.20000000000002
4,0,75.6
4,0,475.2
4,0,305.1
4,0,264.6
3,0,37.8
4,0,958.5
4,0,145.8
2,0,448.20000000000005
3,0,70.2
4,0,13.500000000000002
4,0,116.10000000000001
4,0,540.0
4,0,118.8
3,0,189.0
4,0,59.4
4,0,1034.1
3,0,502.2
4,0,812.7
4,0,245.7
3,0,737.1000000000001
4,0,205.20000000000002
3,0,132.3
2,0,421.20000000000005
2,0,124.2
3,0,307.8
4,0,963.9000000000001
2,0,48.6
3,0,594.0000000000001
3,0,642.6
3,0,869.4000000000001
4,0,81.0
3,0,1244.7
4,0,32.4
3,0,337.5
3,0,432.00000000000006
4,0,945.0000000000001
4,0,234.90000000000003
3,0,772.2
4,0,278.1
2,0,10.8
3,0,5.4
4,0,699.3000000000001
3,0,904.5000000000001
2,0,5.4
4,0,332.1
2,0,37.8
3,0,758.7
4,0,278.1
3,0,637.2
4,0,137.70000000000002
2,0,302.4
3,0,861.3000000000001
2,0,213.3
4,0,766.8000000000001
3,0,86.4
3,0,1071.9
4,0,216.00000000000003
3,0,1117.8000000000002
4,0,1020.5999999999999
3,0,251.1
4,0,388.8
2,0,531.9000000000001
2,0,602.1000000000001
4,0,510.29999999999995
4,0,631.8000000000001
2,0,167.40000000000003
3,0,83.70000000000002
3,0,43.2
4,0,1090.8
2,0,159.3
4,0,637.2
4,0,1101.6000000000001
4,0,661.5000000000001
4,0,607.5
2,0,59.4
4,0,189.0
3,0,1336.5
4,0,118.8
3,0,97.2
2,0,342.90000000000003
2,0,10.8
4,0,658.8000000000001
2,0,56.7
3,0,950.4
2,0,394.2
3,0,124.2
2,0,278.1
4,0,121.50000000000001
4,0,297.00000000000006
4,0,440.1
2,0,45.900000000000006
2,0,720.9
4,0,464.40000000000003
3,0,162.0
4,0,256.5
2,0,394.2
4,0,542.7
2,0,1066.5
2,0,197.1
4,0,1412.1000000000001
2,0,234.90000000000003
2,0,43.2
2,0,615.6
4,0,135.0
3,0,472.50000000000006
4,0,81.0
2,0,124.2
2,0,623.7
3,0,175.50000000000003
4,0,464.40000000000003
3,0,321.3
2,0,137.70000000000002
2,0,872.1000000000001
2,0,10.8
3,0,1107.0
4,0,766.8000000000001
2,0,110.7
2,0,210.60000000000002
3,0,507.6
2,0,180.9
2,0,348.3
2,0,499.5
3,0,626.4000000000001
2,0,8.1
2,0,253.8
4,0,612.9
4,0,264.6
4,0,621.0
2,0,845.1
2,0,8.1
3,0,758.7
4,0,307.8
4,0,391.5
2,0,175.50000000000003
3,0,702.0000000000001
2,0,264.6
2,0,118.8
2,0,437.40000000000003
2,0,159.3
4,0,583.2
2,0,291.6
2,0,162.0
2,0,1020.5999999999999
2,0,159.3
2,0,121.50000000000001
2,0,86.4
2,0,418.50000000000006
2,0,699.3000000000001
2,0,237.6
3,0,423.9
4,0,297.00000000000006
2,0,148.50000000000003
2,0,83.70000000000002
2,0,383.40000000000003
4,0,67.5
2,0,499.5
4,0,261.90000000000003
4,0,720.9
4,0,27.000000000000004
2,0,5.4
3,0,540.0
2,0,1163.7
2,0,645.3
2,0,858.6
2,0,164.70000000000002
2,0,178.2
2,0,40.5
2,0,958.5
2,0,248.4
2,0,29.7
2,0,367.20000000000005
2,0,180.9
2,0,8.1
2,0,359.1
2,0,83.70000000000002
3,0,648.0
4,0,294.3
2,0,251.1
2,0,105.30000000000001
2,0,83.70000000000002
2,1,631.8000000000001
2,1,229.5
4,1,108.00000000000001
2,1,170.1
2,2,318.6
2,3,75.6
2,3,148.50000000000003
2,4,297.00000000000006
2,4,567.0000000000001
3,4,270.0
4,4,72.9
4,4,270.0
2,4,480.6
2,4,156.60000000000002
2,4,56.7
2,5,1204.2000000000003
2,6,529.2
2,7,37.8
2,7,245.7
4,7,13.500000000000002
2,8,105.30000000000001
2,9,575.1
2,10,442.8
2,11,48.6
2,12,299.70000000000005
2,12,264.6
2,13,178.2
2,14,812.7
2,15,234.90000000000003
2,15,110.7
2,16,148.50000000000003
2,17,148.50000000000003
2,18,81.0
4,18,237.6
3,18,189.0
2,18,43.2
2,19,850.5
2,20,78.30000000000001
2,21,145.8
2,22,81.0
2,23,483.3
2,23,51.300000000000004
3,23,324.0
2,24,21.6
2,25,286.2
2,26,518.4
2,27,102.60000000000001
4,27,704.7
2,28,35.1
2,28,67.5
2,29,1471.5
3,29,1096.2
2,30,83.70000000000002
2,31,251.1
2,32,29.7
2,33,78.30000000000001
2,33,380.70000000000005
2,34,585.9
2,35,164.70000000000002
2,36,345.6
2,37,108.00000000000001
2,38,283.50000000000006
2,39,432.00000000000006
2,40,440.1
2,41,48.6
2,42,78.30000000000001
4,42,297.00000000000006
4,42,515.7
2,42,329.40000000000003
2,43,229.5
4,43,766.8000000000001
2,44,226.8
2,45,656.1
2,46,27.000000000000004
2,47,175.50000000000003
2,48,94.5
3,48,515.7
4,48,980.1000000000001
4,48,118.8
2,49,218.70000000000002
2,50,288.9
2,51,280.8
2,51,283.50000000000006
2,52,207.9
2,53,105.30000000000001
2,54,245.7
2,54,32.4
2,55,251.1
3,55,880.2
4,55,259.2
4,55,102.60000000000001
2,56,229.5
3,56,275.40000000000003
2,57,243.00000000000003
2,58,167.40000000000003
2,59,348.3
3,59,531.9000000000001
2,60,197.1
2,61,45.900000000000006
2,62,89.1
2,63,48.6
4,63,13.500000000000002
2,63,828.9000000000001
2,64,564.3000000000001
3,64,472.50000000000006
4,64,982.8
2,65,634.5000000000001
2,66,64.8
2,66,64.8
3,66,491.4
2,67,143.1
2,67,299.70000000000005
2,68,216.00000000000003
3,68,769.5000000000001
2,69,48.6
2,70,1136.7
2,71,402.30000000000007
2,72,464.40000000000003
2,73,67.5
2,74,850.5
2,75,712.8
2,75,183.60000000000002
2,76,642.6
2,77,623.7
2,78,866.7
3,78,121.50000000000001
4,78,618.3000000000001
2,79,124.2
2,80,70.2
2,81,340.2
2,81,234.90000000000003
2,82,450.90000000000003
2,83,799.2
3,83,294.3
2,84,704.7
2,84,226.8
2,85,272.7
2,86,850.5
3,86,261.90000000000003
4,86,666.9000000000001
2,87,318.6
4,87,575.1
2,88,464.40000000000003
2,88,599.4000000000001
2,88,35.1
2,89,283.50000000000006
4,89,45.900000000000006
2,89,820.8000000000001
2,90,1258.2
2,91,45.900000000000006
2,92,75.6
2,93,156.60000000000002
2,94,248.4
2,95,43.2
3,95,739.8000000000001
2,96,442.8
3,96,1233.9
4,96,453.6
2,97,186.3
4,97,769.5000000000001
2,97,348.3
3,97,342.90000000000003
4,97,702.0000000000001
2,98,348.3
3,98,1182.6000000000001
2,99,43.2
2,100,54.00000000000001
4,100,132.3
4,100,567.0000000000001
2,100,575.1
2,101,199.8
2,101,272.7
2,102,105.30000000000001
2,102,502.2
2,103,232.20000000000002
2,104,901.8000000000001
2,105,445.5
2,106,558.9000000000001
2,107,307.8
2,108,545.4
4,108,5.4
2,109,251.1
4,109,86.4
2,110,75.6
2,110,537.3
2,111,245.7
2,111,121.50000000000001
3,111,783.0
2,112,288.9
2,113,294.3
3,113,191.70000000000002
4,113,67.5
4,113,877.5000000000001
4,113,0.0
2,113,413.1
2,114,402.30000000000007
2,115,205.20000000000002
2,115,499.5
3,115,729.0000000000001
3,115,591.3000000000001
2,115,313.20000000000005
2,116,162.0
3,116,491.4
2,117,48.6
2,118,108.00000000000001
2,119,121.50000000000001
2,120,110.7
2,121,340.2
2,122,83.70000000000002
2,123,51.300000000000004
2,124,45.900000000000006
3,124,275.40000000000003
4,124,804.6000000000001
2,125,742.5
2,126,24.3
2,127,413.1
3,127,1185.3
2,128,413.1
2,129,140.4
2,130,170.1
2,131,739.8000000000001
2,132,283.50000000000006
2,133,18.9
2,134,286.2
2,135,761.4000000000001
2,136,297.00000000000006
2,137,739.8000000000001
3,137,1220.4
4,137,348.3
2,138,51.300000000000004
2,139,210.60000000000002
2,140,693.9000000000001
2,141,56.7
2,141,45.900000000000006
2,142,178.2
4,142,804.6000000000001
2,143,32.4
2,144,677.7
4,144,550.8000000000001
3,144,958.5
4,144,108.00000000000001
2,145,270.0
3,145,342.90000000000003
4,145,710.1
2,145,24.3
2,146,153.9
3,146,372.6
2,147,199.8
3,147,688.5
3,147,232.20000000000002
2,148,59.4
2,149,683.1
2,150,143.1
3,150,278.1
4,150,963.9000000000001
4,150,631.8000000000001
2,151,132.3
2,152,110.7
4,152,761.4000000000001
2,153,361.8
2,154,726.3000000000001
4,154,51.300000000000004
4,154,650.7
4,154,267.3
3,154,669.6000000000001
4,154,78.30000000000001
2,155,13.500000000000002
3,155,40.5
4,155,823.5
2,156,456.3
4,156,40.5
2,157,567.0000000000001
2,157,256.5
2,158,594.0000000000001
3,158,16.2
3,158,137.70000000000002
3,158,504.90000000000003
4,158,742.5
2,159,251.1
2,160,72.9
2,161,529.2
2,162,240.3
2,163,224.10000000000002
2,164,32.4
3,164,402.30000000000007
2,165,704.7
2,166,189.0
3,166,56.7
4,166,356.4
2,167,464.40000000000003
2,168,67.5
2,169,251.1
2,170,286.2
2,171,291.6
2,172,64.8
2,173,286.2
2,174,334.80000000000007
2,174,353.7
2,175,202.5
2,176,116.10000000000001
2,176,51.300000000000004
2,177,310.5
2,178,35.1
2,178,305.1
2,179,472.50000000000006
3,179,556.2
2,180,186.3
2,181,837.0000000000001
2,182,24.3
2,183,153.9
2,184,37.8
2,185,48.6
3,185,183.60000000000002
2,186,253.8
2,186,164.70000000000002
2,187,720.9
3,187,105.30000000000001
4,187,324.0
2,188,91.80000000000001
2,189,629.1
2,189,162.0
2,189,172.8
2,190,197.1
2,191,13.500000000000002
2,192,958.5
2,193,548.1
2,194,224.10000000000002
2,195,97.2
2,196,248.4
2,197,351.00000000000006
2,198,21.6
3,198,939.6000000000001
4,198,135.0
2,198,162.0
4,198,850.5
4,198,164.70000000000002
2,199,307.8
2,200,143.1
2,201,137.70000000000002
2,202,35.1
2,203,383.40000000000003
4,203,86.4
2,203,116.10000000000001
2,204,248.4
2,205,170.1
2,206,259.2
2,207,229.5
2,208,467.1
3,208,0.0
4,208,621.0
4,208,256.5
3,208,140.4
2,209,183.60000000000002
2,210,966.6
4,210,383.40000000000003
2,211,27.000000000000004
2,212,72.9
4,212,315.90000000000003
2,213,78.30000000000001
2,214,553.5
2,215,818.1
2,216,162.0
2,217,116.10000000000001
2,217,648.0
4,217,693.9000000000001
2,218,210.60000000000002
3,218,499.5
4,218,340.2
2,219,475.2
2,220,151.2
4,220,367.20000000000005
2,221,693.9000000000001
3,221,496.8
2,222,175.50000000000003
2,223,475.2
4,223,18.9
2,224,94.5
2,225,226.8
4,225,607.5
2,226,253.8
2,227,108.00000000000001
2,227,110.7
4,227,993.6
2,227,102.60000000000001
4,227,456.3
2,228,51.300000000000004
4,228,297.00000000000006
2,229,410.40000000000003
2,230,167.40000000000003
2,231,29.7
2,232,24.3
3,232,953.1
4,232,599.4000000000001
4,232,140.4
2,232,178.2
4,232,194.4
2,233,488.70000000000005
2,234,199.8
2,234,291.6
2,235,526.5000000000001
4,235,334.80000000000007
2,236,278.1
4,236,353.7
2,237,261.90000000000003
2,237,324.0
4,237,62.1
2,238,480.6
4,238,661.5000000000001
4,238,912.6
2,239,240.3
2,240,16.2
2,241,429.3
3,241,1107.0
2,241,280.8
2,242,742.5
2,243,396.90000000000003
2,244,162.0
2,245,205.20000000000002
3,245,434.70000000000005
4,245,307.8
2,246,89.1
2,247,32.4
2,248,329.40000000000003
2,249,450.90000000000003
2,250,167.40000000000003
4,250,129.6
2,251,432.00000000000006
4,251,75.6
2,252,121.50000000000001
2,253,378.0
3,253,261.90000000000003
2,254,40.5
2,255,75.6
4,255,599.4000000000001
2,256,488.70000000000005
2,256,126.9
2,257,564.3000000000001
4,257,440.1
2,257,32.4
2,258,259.2
2,259,313.20000000000005
2,260,386.1
3,260,129.6
4,260,747.9
2,260,24.3
2,260,48.6
4,260,97.2
2,260,637.2
2,261,27.000000000000004
3,261,710.1
2,262,351.00000000000006
2,263,137.70000000000002
3,263,1452.6000000000001
2,264,604.8
2,265,40.5
2,266,21.6
2,267,78.30000000000001
2,268,67.5
3,268,8.1
4,268,761.4000000000001
3,268,761.4000000000001
4,268,62.1
2,269,302.4
2,269,199.8
2,270,178.2
3,270,418.50000000000006
4,270,580.5
2,271,140.4
2,272,399.6
2,273,378.0
2,274,113.4
3,274,218.70000000000002
4,274,391.5
4,274,796.5000000000001
3,274,575.1
2,275,426.6
2,276,218.70000000000002
3,276,178.2
2,277,531.9000000000001
2,278,172.8
3,278,828.9000000000001
2,279,135.0
2,279,183.60000000000002
2,279,151.2
2,280,334.80000000000007
2,281,237.6
2,282,62.1
2,283,81.0
2,284,299.70000000000005
2,284,32.4
2,285,356.4
2,286,202.5
2,287,264.6
3,287,467.1
2,288,40.5
2,288,334.80000000000007
2,289,299.70000000000005
2,290,40.5
2,291,167.40000000000003
2,292,332.1
2,293,216.00000000000003
2,294,151.2
2,295,380.70000000000005
2,295,89.1
2,296,132.3
2,297,226.8
2,298,224.10000000000002
4,298,426.6
2,299,167.40000000000003
2,300,648.0
3,300,264.6
4,300,170.1
2,301,221.4
2,302,35.1
4,302,513.0
4,302,156.60000000000002
4,302,178.2
2,303,361.8
2,304,172.8
2,305,224.10000000000002
4,305,24.3
2,306,167.40000000000003
2,307,334.80000000000007
3,307,234.90000000000003
4,307,599.4000000000001
2,308,35.1
2,309,105.30000000000001
2,310,170.1
2,311,340.2
2,312,364.50000000000006
2,313,43.2
2,313,153.9
2,314,318.6
2,315,164.70000000000002
2,316,329.40000000000003
2,317,540.0
2,317,24.3
4,317,839.7
3,317,450.90000000000003
4,317,1023.3000000000001
3,317,639.9
2,318,380.70000000000005
2,319,356.4
2,320,556.2
2,321,172.8
2,322,137.70000000000002
4,322,577.8
2,322,518.4
4,322,156.60000000000002
2,322,78.30000000000001
2,323,218.70000000000002
2,324,162.0
2,324,456.3
2,325,434.70000000000005
2,326,59.4
2,327,91.80000000000001
4,327,167.40000000000003
2,328,286.2
2,329,253.8
4,329,434.70000000000005
2,330,224.10000000000002
2,331,70.2
2,332,99.9
3,332,1115.1
3,332,483.3
4,332,8.1
2,333,159.3
2,334,202.5
2,335,143.1
2,336,243.00000000000003
2,337,162.0
2,338,372.6
4,338,912.6
3,338,67.5
4,338,764.1
4,338,94.5
4,338,342.90000000000003
2,339,429.3
2,340,170.1
2,340,40.5
4,340,202.5
2,341,224.10000000000002
4,341,750.6
2,342,121.50000000000001
2,343,253.8
2,344,170.1
2,345,97.2
3,345,710.1
4,345,97.2
2,346,83.70000000000002
2,347,429.3
2,348,666.9000000000001
3,348,842.4000000000001
4,348,29.7
2,349,56.7
2,350,75.6
2,351,32.4
2,352,253.8
2,352,299.70000000000005
