Time,Speckle_ID,dist_from_PE,Init_spec_time,Fil_ID,init_x,init_y,init_z,fin_x,fin_y,fin_z,type,origin
230,19782,107,229.1,24845,0.932848553,0.075315037,2.788259911,0.932848553,0.075315037,2.833859911,2,1
230,19757,12,228.9,23933,-2.441634301,0.157909914,0.008158192,-2.441634301,0.157909914,0.064658192,2,0
230,19853,36,229.7,23933,-2.485735177,0.167554577,0.003370202,-2.485735177,0.167554577,0.018170202,2,0
230,19119,0,222.6,24633,-1.025257434,0.124083709,4.464190189,-1.025257434,0.124083709,4.833590189,0,1
230,18248,0,213.5,22865,0.466200084,0.13090845,0.001614054,0.466200084,0.13090845,0.824814054,0,0
230,17995,58,211.4,21823,-1.627526394,0.140362902,0.00513776,-1.627526394,0.140362902,0.93303776,2,0
230,19356,75,224.8,24023,1.286072848,0.110103662,0.005573713,1.286072848,0.110103662,0.265673713,2,0
230,19289,89,224.2,25201,1.521697122,0.026868343,0.086639468,1.521697122,0.026868343,0.375939468,2,1
230,19618,26,227.6,24839,1.582112532,0.016343363,0.082984092,1.582112532,0.016343363,0.202984092,2,1
230,19891,59,230,24839,1.611431775,0.011235653,0.117901336,1.611431775,0.011235653,0.119001336,2,1
230,19892,63,230,24839,1.614985623,0.010616536,0.107721608,1.614985623,0.010616536,0.108821608,2,1
230,19373,58,225,21364,1.858974425,0.07253152,1.037464864,1.858974425,0.07253152,1.288864864,2,1
230,19787,71,229.1,25060,0.567954604,0.00858539,5.198576998,0.567954604,0.00858539,5.245976998,2,1
230,19788,85,229.1,25060,0.588701801,0.006832086,5.167028309,0.588701801,0.006832086,5.214428309,2,1
230.1,19652,3,227.9,24610,2.264313722,0.170593589,0.002114573,2.264313722,0.170593589,0.108114573,2,0
230.1,19144,32,222.8,24154,0.692483987,0.019190034,8.164924053,0.692483987,0.019190034,8.528824053,2,1
230.1,19537,7,226.7,25221,1.50095038,0.135673995,2.735007564,1.50095038,0.135673995,2.905907564,2,1
230.1,12395,0,158.3,24078,-0.016821046,0.022953354,3.232398897,-0.016821046,0.022953354,6.826798897,0,1
230.2,17526,0,207.3,24735,-0.734438826,0.055483231,0.008940869,-0.734438826,0.055483231,1.151240869,0,1
230.2,19139,14,222.7,25224,0.807174099,0.155083528,0.105957741,0.807174099,0.155083528,0.476957741,2,1
230.2,19564,27,227,23646,0.63229873,0.150791631,0.007740197,0.63229873,0.150791631,0.166540197,2,0
230.2,17985,23,211.4,25226,1.559386353,0.041500446,0.003764583,1.559386353,0.041500446,0.944664583,2,0
230.2,19453,27,225.8,24320,-2.891966287,0.11884534,0.031446232,-2.891966287,0.11884534,0.254946232,2,0
230.2,19369,0,225,24334,0.965102291,0.014069244,5.897452703,0.965102291,0.014069244,6.160552703,0,1
230.3,18590,0,217.3,24455,-2.076084915,0.133508463,1.94550531,-2.076084915,0.133508463,2.59520531,0,1
230.3,17674,44,208.5,24430,-1.924250482,0.067864383,0.002142784,-1.924250482,0.067864383,1.090542784,2,1
230.3,19830,9,229.5,24430,-1.867288582,0.078712274,1.125261248,-1.867288582,0.078712274,1.165161248,2,1
230.3,19824,80,229.4,24937,1.249279596,0.124207661,0.382161521,1.249279596,0.124207661,0.426961521,2,1
230.3,19825,118,229.4,24937,1.309051111,0.134433293,0.299399437,1.309051111,0.134433293,0.344199437,2,1
230.3,18681,0,218,25239,0.427259572,0.12745492,0.006478346,0.427259572,0.12745492,0.619878346,0,0
230.3,19886,65,229.9,24090,0.704095357,0.031103662,0.381900409,0.704095357,0.031103662,0.398600409,2,1
230.3,19728,51,228.7,24693,-0.579020539,0.049423398,1.947371385,-0.579020539,0.049423398,2.025971385,2,1
230.3,19729,32,228.7,24693,-0.560399818,0.051124653,1.995142344,-0.560399818,0.051124653,2.073742344,2,1
230.3,19161,0,223,24960,1.328270687,0.087042761,2.162246914,1.328270687,0.087042761,2.529146914,0,1
230.3,19714,69,228.6,23466,-0.754171463,0.188708104,4.831047043,-0.754171463,0.188708104,4.918247043,2,1
230.3,19366,86,225,24973,-2.320936601,0.148391291,0.829526692,-2.320936601,0.148391291,1.098226692,2,1
230.3,19367,25,225,24973,-2.194174574,0.130467572,0.933142419,-2.194174574,0.130467572,1.201842419,2,1
230.3,12249,30,156.8,24917,0.200473689,0.068937237,1.105448137,0.200473689,0.068937237,4.781948137,2,1
230.4,17515,44,207.2,24856,-1.658056993,0.174209922,0.611099275,-1.658056993,0.174209922,1.767599275,2,1
230.4,18656,63,217.8,24856,-1.689103027,0.177880477,1.096625441,-1.689103027,0.177880477,1.726925441,2,1
230.4,19480,19,226,23536,1.155101866,0.12447304,0.319482115,1.155101866,0.12447304,0.539882115,2,1
230.4,18278,3,213.9,22854,-0.101268822,0.156184451,0.565089223,-0.101268822,0.156184451,1.387789223,2,1
230.4,19423,0,225.6,24974,1.206757656,0.180431607,1.490962167,1.206757656,0.180431607,1.732462167,0,1
230.4,18831,87,219.5,24663,0.893049011,0.153535387,7.255508783,0.893049011,0.153535387,7.801108783,2,1
230.4,19736,116,228.8,24491,-2.083018129,0.065426389,1.424074061,-2.083018129,0.065426389,1.505174061,2,1
230.4,19073,56,222.1,23495,-2.169769703,0.082653509,0.004655882,-2.169769703,0.082653509,0.418955882,2,0
230.4,19543,1,226.8,24228,1.814881237,0.184424071,0.002635151,1.814881237,0.184424071,0.184535151,2,1
230.4,19734,13,228.8,24798,-1.816524079,0.138346752,0.928519202,-1.816524079,0.138346752,1.012019202,2,1
