dataset,x,y
1,0.25,124
1,0.5,136.4
1,0.75,105.8
1,1,80.2
1,1.25,69
1,1.5,57.2
1,1.75,42.6
1,2,26.2
1,2.25,21
1,2.5,14
1,2.75,11.6
1,3,8.8
1,3.25,3.6
1,3.5,2.6
1,3.75,1.4
1,4,1.6
1,4.25,0.4
1,4.5,0.4
1,4.75,0.6
1,5,0.4
1,5.25,0.2
1,5.5,0.4
1,5.75,0.6
1,6,0
1,6.25,0.2
1,6.5,0.2
1,6.75,0
1,7,0
1,7.25,0.4
1,7.5,0
1,7.75,0
1,8,0
1,8.25,0
1,8.5,0.2
1,8.75,0
1,9,0
1,9.25,0
1,9.5,0
1,9.75,0
1,10,0
1,10.25,0
1,10.5,0
1,10.75,0
1,11,0
1,11.25,0
1,11.5,0.4
2,0.25,264.6
2,0.5,134.2
2,0.75,132.2
2,1,128.6
2,1.25,116.4
2,1.5,103.6
2,1.75,84.2
2,2,76
2,2.25,48.4
2,2.5,44.6
2,2.75,39.4
2,3,19.8
2,3.25,10.4
2,3.5,9
2,3.75,7.6
2,4,6
2,4.25,3.4
2,4.5,2.4
2,4.75,1.8
2,5,1.8
2,5.25,1.4
2,5.5,2.2
2,5.75,1.6
2,6,1.8
2,6.25,1.8
2,6.5,2.6
2,6.75,1.4
2,7,1
2,7.25,0.8
2,7.5,1.2
2,7.75,1
2,8,1
2,8.25,0.2
2,8.5,0.6
2,8.75,0.4
2,9,0.8
2,9.25,1.2
2,9.5,0.6
2,9.75,0.6
2,10,1.2
2,10.25,0.6
2,10.5,0.6
2,10.75,0.4
2,11,0.6
2,11.25,0.8
2,11.5,2.4
