set,z,conc
1,0.25,511.3995172
1,0.5,517.0586342
1,0.75,454.7286422
1,1,416.1775687
1,1.25,385.2118374
1,1.5,316.7777042
1,1.75,242.9501401
1,2,193.001127
1,2.25,144.546599
1,2.5,105.3910893
1,2.75,82.56199913
1,3,64.01709957
1,3.25,42.6492837
1,3.5,28.21587871
1,3.75,19.62092884
1,4,14.06144426
1,4.25,9.42521937
1,4.5,8.787572393
1,4.75,5.878308064
1,5,3.27458291
1,5.25,4.503381771
1,5.5,4.370538651
1,5.75,3.201519194
1,6,1.959436021
1,6.25,2.105563453
1,6.5,1.886372305
1,6.75,1.600759597
1,7,2.670146714
1,7.25,1.348357669
1,7.5,0.956470465
1,7.75,0.644289132
1,8,0.577867572
1,8.25,0.544656792
1,8.5,0.524730324
1,8.75,1.441347853
1,9,0.777132252
1,9.25,0.557941104
1,9.5,0.252401928
1,9.75,0.717352848
1,10,0.538014636
1,10.25,0.239117616
1,10.5,0.272328396
1,10.75,0.36531858
1,11,0.046495092
1,11.25,0.544656792
1,11.5,0.637646976
