Time,Speckle_ID,dist_from_PE,Init_spec_time,Fil_ID,init_x,init_y,init_z,fin_x,fin_y,fin_z,type,origin
230,6466,51,203.1,13914,0.707527745,0.169053746,0.00210713,0.707527745,0.169053746,1.34470713,2,0
230,6508,75,204.4,13914,0.732308541,0.167915827,0.008843474,0.732308541,0.167915827,1.284843474,2,0
230,6552,0,206,12462,1.379586332,0.17237305,0.004221269,1.379586332,0.17237305,1.202221269,0,0
230,6016,9,189.3,11065,1.799972013,0.072944176,0.006507333,1.799972013,0.072944176,2.043907333,2,0
230,6048,34,190.4,11065,1.836932787,0.064085217,0.006224988,1.836932787,0.064085217,1.988124988,2,0
230,6002,7,188.8,11799,-0.970574944,0.138794179,0.004760101,-0.970574944,0.138794179,2.063560101,2,0
230,5857,0,184.1,12913,-1.748219054,0.086809296,0.025059832,-1.748219054,0.086809296,2.320459832,0,0
230,6881,0,216.6,13146,0.00632272,0.121054846,0.005713078,0.00632272,0.121054846,0.678213078,0,0
230,6788,0,213.6,13835,-0.317299661,0.065409338,0.001933957,-0.317299661,0.065409338,0.821933957,0,0
230,6275,0,197.3,12898,0.799285668,0.033953367,0.016227239,0.799285668,0.033953367,1.651527239,0,0
230.1,7192,1,226.2,13786,0.552427196,0.05819863,0.005397954,0.552427196,0.05819863,0.196097954,2,0
230.1,7195,3,226.3,13786,0.554792622,0.058326579,0.001645286,0.554792622,0.058326579,0.191245286,2,0
230.1,6406,0,201.4,13623,0.246253241,0.024089442,0.005294941,0.246253241,0.024089442,1.438194941,0,0
230.1,6953,0,218.4,12701,0.309569708,0.101243547,0.008420289,0.309569708,0.101243547,0.593120289,0,0
230.1,6869,0,216.3,13540,0.16560743,0.041777443,0.004203788,0.16560743,0.041777443,0.695003788,0,0
230.1,6022,2,189.3,11375,0.115483689,0.103569523,0.005868498,0.115483689,0.103569523,2.045168498,2,0
230.1,5977,17,187.9,13058,0.623000875,0.134652329,0.006926066,0.623000875,0.134652329,2.121026066,2,0
230.2,7099,31,223.2,13523,0.911612206,0.057510401,0.001791344,0.911612206,0.057510401,0.349491344,2,0
230.2,7131,51,224.2,13523,0.89281682,0.066053789,0.002094009,0.89281682,0.066053789,0.299594009,2,0
230.3,4945,0,156.3,13585,2.595124548,0.153122912,0.002183143,2.595124548,0.153122912,3.699183143,0,0
230.3,7032,0,220.9,13481,-0.474166689,0.047932805,0.004274042,-0.474166689,0.047932805,0.472374042,0,0
230.3,6343,3,199.5,12125,0.676068316,-1.13E-04,0.011335712,0.676068316,-1.13E-04,1.554335712,2,0
230.3,6957,0,218.5,13029,0.516284204,0.154394326,0.004594012,0.516284204,0.154394326,0.595994012,0,0
230.4,6884,11,216.7,13175,0.27838228,0.030259774,0.005790564,0.27838228,0.030259774,0.691390564,2,0
230.4,6959,0,218.6,12701,0.30514324,0.103127671,0.005206548,0.30514324,0.103127671,0.597606548,0,0
230.5,6803,0,214.2,12911,-0.395041326,0.128398893,0.002964419,-0.395041326,0.128398893,0.814364419,0,0
230.5,5689,0,179.8,12475,0.823852078,0.160392711,0.005889778,0.823852078,0.160392711,2.539789778,0,0
230.5,6923,31,217.6,13190,0.296977853,0.016531328,0.003221076,0.296977853,0.016531328,0.647021076,2,0
230.6,6799,27,214.1,12971,1.256937827,0.063495573,0.006530893,1.256937827,0.063495573,0.831030893,2,0
230.6,6597,33,207.3,12582,0.884040814,0.121611685,0.004016131,0.884040814,0.121611685,1.167016131,2,0
230.6,7007,0,219.9,13025,-0.500620913,0.076105345,0.004836276,-0.500620913,0.076105345,0.537636276,0,0
230.7,6546,14,205.9,12435,1.292002431,0.143728704,0.00414972,1.292002431,0.143728704,1.24644972,2,0
230.7,6883,0,216.6,13146,0.009779863,0.119775721,0.00170045,0.009779863,0.119775721,0.70580045,0,0
230.7,6878,48,216.6,12850,1.113297766,0.052414773,0.005504403,1.113297766,0.052414773,0.715104403,2,0
230.8,7130,0,224.2,13486,-0.223010708,0.036517637,0.003415164,-0.223010708,0.036517637,0.332315164,0,0
230.8,6632,9,208.6,12491,0.396813349,0.177078711,0.003600004,0.396813349,0.177078711,1.114800004,2,0
230.8,6683,47,210.3,12491,0.446763491,0.193529631,0.001702838,0.446763491,0.193529631,1.026702838,2,0
230.8,7057,0,221.8,13566,-1.329357929,0.170374357,0.004061678,-1.329357929,0.170374357,0.453561678,0,0
230.9,5979,0,187.9,11914,0.186688481,0.050397814,0.001582966,0.186688481,0.050397814,2.149782966,0,0
230.9,6509,0,204.5,13626,0.612925406,0.095921471,0.002860042,0.612925406,0.095921471,1.324860042,0,0
230.9,5851,5,184.1,10982,-1.532180174,0.126182222,0.00976418,-1.532180174,0.126182222,2.35426418,2,0
230.9,5856,6,184.1,10982,-1.530788007,0.126001993,0.0101578,-1.530788007,0.126001993,2.3519578,2,0
231,5983,0,188.1,13316,0.52614285,0.118470237,0.008052275,0.52614285,0.118470237,2.153052275,0,0
231,6574,0,206.7,12633,-1.196801112,0.18095868,0.004217178,-1.196801112,0.18095868,1.218617178,0,0
231,6612,0,207.8,12989,1.311540958,0.1381527,0.007111369,1.311540958,0.1381527,1.166211369,0,0
231.1,6309,0,198.4,12827,1.992250778,0.125235838,0.002654198,1.992250778,0.125235838,1.639854198,0,0
231.2,6142,35,193.6,14018,0.030659996,0.15556886,0.031639224,0.030659996,0.15556886,1.911939224,2,0
231.2,6150,39,193.7,14018,0.020969637,0.156067943,0.034097087,0.020969637,0.156067943,1.907197087,2,0
231.2,6392,0,200.9,13148,-0.142906228,0.102529473,0.005206514,-0.142906228,0.102529473,1.522806514,0,0
231.3,6950,65,218.3,13300,0.416843705,0.091638779,0.063470402,0.416843705,0.091638779,0.712770402,2,0
231.3,7019,30,220.2,13219,-0.409844744,0.085290061,0.00546319,-0.409844744,0.085290061,0.56006319,2,0
231.4,6098,49,192.1,12554,1.161080023,0.066562041,0.003955407,1.161080023,0.066562041,1.964855407,2,0
231.4,6313,10,198.5,12030,1.370953958,0.162538409,0.003092878,1.370953958,0.162538409,1.648092878,2,0
231.5,6585,0,207,13804,-0.174533947,0.135363365,0.009135265,-0.174533947,0.135363365,1.235535265,0,0
231.5,5961,14,187.2,13502,-1.587764077,0.089467233,0.003747002,-1.587764077,0.089467233,2.219147002,2,0
231.6,6440,26,202.5,13537,1.421609257,0.107717692,0.007056219,1.421609257,0.107717692,1.461756219,2,0
231.6,6449,30,202.7,13537,1.429393329,0.107320366,0.010080234,1.429393329,0.107320366,1.454280234,2,0
231.6,5535,8,174.6,13762,-1.297689218,0.112790656,0.003010314,-1.297689218,0.112790656,2.855910314,2,0
231.7,5884,28,184.8,14136,-1.56443476,0.137574515,0.002816492,-1.56443476,0.137574515,2.344316492,2,0
231.7,6656,13,209.4,13339,-0.073382462,0.103192124,0.003729612,-0.073382462,0.103192124,1.119729612,2,0
231.8,6384,5,200.7,12214,-0.334691418,0.128168165,0.020701104,-0.334691418,0.128168165,1.576401104,2,0
231.9,7245,22,228.4,13959,0.826758206,0.160758129,0.008008122,0.826758206,0.160758129,0.183608122,2,0
232,7105,0,223.5,13747,-0.430629581,0.121029206,0.020202762,-0.430629581,0.121029206,0.444002762,0,0
232,6453,0,202.8,12175,0.80182084,0.14546114,0.003999154,0.80182084,0.14546114,1.465299154,0,0
232,7188,0,226.1,13765,0.837250852,0.142504665,0.005575672,0.837250852,0.142504665,0.299875672,0,0
232,6390,0,200.8,13417,0.926691904,0.108419948,0.007238617,0.926691904,0.108419948,1.567138617,0,0
232,3485,0,111.3,6259,-1.239761119,0.05898133,0.002518956,-1.239761119,0.05898133,6.036818956,0,0
232.1,6523,0,204.8,13287,0.631438267,0.127626088,0.01257442,0.631438267,0.127626088,1.37587442,0,0
232.1,6496,5,204.1,13997,0.52650635,0.044779819,0.002972703,0.52650635,0.044779819,1.403472703,2,0
232.1,6474,10,203.5,11929,0.297996895,0.031865409,0.003889431,0.297996895,0.031865409,1.437289431,2,0
232.1,6515,32,204.6,11929,0.271448648,0.030988433,0.006759576,0.271448648,0.030988433,1.384159576,2,0
232.2,5598,11,176.9,13455,0.543673989,0.182059202,0.005308126,0.543673989,0.182059202,2.770308126,2,0
232.2,6771,11,213.3,13030,0.889108127,0.125124427,0.012340267,0.889108127,0.125124427,0.959340267,2,0
232.3,7046,4,221.4,13938,0.372868486,0.166011732,0.004852817,0.372868486,0.166011732,0.546352817,2,0
232.3,7088,36,222.8,13938,0.311375154,0.170167387,0.010303163,0.311375154,0.170167387,0.485803163,2,0
232.3,5804,0,182.7,10088,-0.538535396,0.113730567,0.003622247,-0.538535396,0.113730567,2.483722247,0,0
232.3,7011,15,220,13490,0.529490268,0.031263546,0.009324681,0.529490268,0.031263546,0.624024681,2,0
232.4,6622,0,208.3,13666,0.257678744,0.102530764,0.004796052,0.257678744,0.102530764,1.209496052,0,0
232.4,7122,49,223.8,13643,1.050073692,0.051666249,0.006549885,1.050073692,0.051666249,0.433949885,2,0
